,0,1,2,3,4
147,0.9792294446835988,0.9903846153846153,0.9903846153846153,0.9903846153846153,0.9903846153846153
154,0.9851923076923078,0.9814814814814813,0.9814814814814813,0.9814814814814813,0.9814814814814813
161,0.9861921097770154,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333
169,0.9867637844611528,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841
176,0.9872519194553093,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
184,0.9878371232152301,0.9776119402985076,0.9776119402985076,0.9776119402985076,0.9776119402985076
191,0.9885050553683198,0.9785714285714285,0.9785714285714285,0.9785714285714285,0.9785714285714285
198,0.9890873015873016,0.9794520547945205,0.9794520547945205,0.9794520547945205,0.9794520547945205
206,0.9826986076986077,0.9792610490284909,0.9792610490284909,0.9792610490284909,0.9792610490284909
213,0.9833365164247517,0.9800785634118967,0.9800785634118967,0.9800785634118967,0.9800785634118967
220,0.9778843591793231,0.9747899159663864,0.9747899159663864,0.9747899159663864,0.9747899159663864
228,0.972718253968254,0.9758116883116883,0.9758116883116883,0.9758116883116883,0.9758116883116883
235,0.9741034323533937,0.9764367816091954,0.9764367816091954,0.9764367816091954,0.9764367816091954
242,0.9751389189579275,0.9719666474985624,0.9719666474985624,0.9719666474985624,0.9719666474985624
250,0.9757215619694397,0.9780001347618086,0.9780001347618086,0.9780001347618086,0.9780001347618086
257,0.9734688658739292,0.9786305732484077,0.9786305732484077,0.9786305732484077,0.9786305732484077
264,0.9743713441476212,0.9745192307692307,0.9745192307692307,0.9745192307692307,0.9745192307692307
272,0.9752478051543473,0.9719703450242371,0.9719703450242371,0.9719703450242371,0.9719703450242371
279,0.9756335282651071,0.9728278467350243,0.9728278467350243,0.9728278467350243,0.9728278467350243
287,0.9789933230611197,0.9735714285714286,0.9735714285714286,0.9735714285714286,0.9735714285714286
294,0.977022103473403,0.965884398087788,0.965884398087788,0.965884398087788,0.965884398087788
433,0.9760240536102605,0.9723358327652808,0.9723358327652808,0.9723358327652808,0.9723358327652808
573,0.9796678920015212,0.9792392229703584,0.9792392229703584,0.9792392229703584,0.9792392229703584
712,0.972892567477729,0.9724795207135745,0.9724795207135745,0.9724795207135745,0.9724795207135745
852,0.9652741938289717,0.9681532725237895,0.9772737875854346,0.9772737875854346,0.9772737875854346
991,0.9698933450027458,0.9705840712520594,0.9736668889230823,0.9736668889230823,0.9736668889230823
1131,0.9653695724229369,0.9667981438515082,0.971452652940984,0.971452652940984,0.971452652940984
1270,0.9633494242377054,0.9675538218317237,0.9730473047304731,0.9730473047304731,0.9730473047304731
1410,0.9660540873824652,0.9671930395464745,0.9699855039130995,0.9699855039130995,0.9699855039130995
1549,0.9666349890632632,0.9666349890632632,0.9681454267450996,0.9655750111863081,0.9655750111863081
1688,0.9671040453799075,0.9688401253918496,0.9710225406777132,0.9663579713803597,0.9663579713803597
1828,0.9650177037842235,0.9656177889658065,0.972832796180814,0.9672064164648911,0.9672064164648911
1967,0.9648611775234368,0.9678387650085764,0.9696922172553113,0.9658067403954278,0.9658067403954278
2107,0.966242016966924,0.9686993613573539,0.9702587932513583,0.9674959412800402,0.9674959412800402
2246,0.9666163177447259,0.9680614044499283,0.9709616364684897,0.9659582999198078,0.9658353504606928
2386,0.9666331261538826,0.9669061993553096,0.9703782360658463,0.9649991392257782,0.968253019695295
2525,0.966037580080576,0.9666848292715147,0.968725645598045,0.9643699227263721,0.968099279712522
2665,0.9667243193577225,0.9695333379786168,0.9706880648890979,0.9664154867449987,0.9638705629236451
2804,0.9658391119679008,0.9691159606214607,0.9701848507355164,0.967175158153736,0.9663231984039796
2944,0.9677110715942479,0.97066452760167,0.9698449822174117,0.9663967063553424,0.9672375135302304
