param_SVM__max_iter,train acc,test acc
1,0.5057089840729858,0.5017921146953405
2,0.503811659192825,0.5026881720430108
4,0.5029147982062779,0.5017921146953405
8,0.5076063089531466,0.5044802867383512
16,0.42593474563166833,0.4218726858023045
32,0.4655976496056903,0.4580260078793802
64,0.48411009741765876,0.467764151781747
128,0.6477624864697694,0.6493083325927901
256,0.742744703881243,0.7181566397108919
512,0.9722019483531777,0.9388829645427886
1024,0.9682542137003247,0.9344841375633164
2048,0.9675645585279109,0.9322106697473267
