param_SVM__max_iter,train acc,test acc
1,0.906160507190351,0.903270239047365
2,0.9175243544147209,0.911882757190675
4,0.9237297046543992,0.9224206878165823
8,0.9302133910623164,0.9265529192215409
16,0.9302133910623164,0.9279303296898604
32,0.9302133910623164,0.9279303296898604
64,0.9302133910623164,0.9279303296898604
128,0.9302133910623164,0.9279303296898604
256,0.9302133910623164,0.9279303296898604
512,0.9302133910623164,0.9279303296898604
1024,0.9302133910623164,0.9279303296898604
2048,0.9302133910623164,0.9279303296898604
