param_SVM__max_iter,train acc,test acc
1,0.5029905592910429,0.5007334436587542
2,0.6051847354545389,0.5985916971560286
4,0.6892032832210692,0.6732236628691581
8,0.7083493217914009,0.6896395631778997
16,0.7083493217914009,0.6896395631778997
32,0.7083493217914009,0.6896395631778997
64,0.7083493217914009,0.6896395631778997
128,0.7083493217914009,0.6896395631778997
256,0.7083493217914009,0.6896395631778997
512,0.7083493217914009,0.6896395631778997
1024,0.7083493217914009,0.6896395631778997
2048,0.7083493217914009,0.6896395631778997
