param_SVM__max_iter,train acc,test acc
1,0.9043667852172568,0.9049957048490773
2,0.9163166847069738,0.9195325690926863
4,0.9283856502242153,0.9218726858023045
8,0.9285062625637853,0.9272490298883261
16,0.9289717024895624,0.9263529725406559
32,0.9292129271687026,0.9259382683136349
64,0.9292129271687026,0.9259382683136349
128,0.9292129271687026,0.9259382683136349
256,0.9292129271687026,0.9259382683136349
512,0.9292129271687026,0.9259382683136349
1024,0.9292129271687026,0.9259382683136349
2048,0.9292129271687026,0.9259382683136349
