param_SVM__max_iter,train acc,test acc
1,0.5112818926859439,0.5100713883705085
2,0.485815679604144,0.4897656921117331
4,0.42293026132673567,0.3886296987470007
8,0.42380238132055037,0.39694599958529575
16,0.46684552342662733,0.4616028318374359
32,0.4726766661512291,0.4666311205900648
64,0.4582789546930569,0.44243016677034264
128,0.535039430957167,0.5152107586125181
256,0.8261218493892067,0.8268832015166325
512,0.9753239523735889,0.9303519061583577
1024,0.9742724601824648,0.9248422642850795
2048,0.9727555280655635,0.9211913860007702
