,0,1,2,3,4,5,6,7,8,9
2,0.5125936412703878,0.5423841503259287,0.5079563481603592,0.48647448433400403,0.500804213552444,0.5999190447718113,0.5415442529676698,0.5052162111808541,0.48082753361616565,0.4219807618676457
3,0.6846014455959354,0.6098864595071491,0.5226073730885418,0.5701445318782671,0.6420663864897309,0.6807092683974016,0.6256265259636408,0.5435469252642192,0.5678716125867366,0.6114969078767387
4,0.668812352712048,0.673743931409366,0.6087392132396426,0.6422158329578014,0.6710224966197877,0.6958607755927008,0.6217117803294151,0.5702979796954488,0.6455033904723495,0.5327181240858729
5,0.7462103093245964,0.7077745490705686,0.5678111278605924,0.7436474384475934,0.7618213243989245,0.7223567867716497,0.7201719655904177,0.6986462969148143,0.7189427876353479,0.6031171668388197
6,0.7402485640471511,0.7632482986388454,0.669421488845234,0.7345905320071996,0.7332959716106277,0.7858446616318902,0.7313647714871787,0.7070339307589814,0.7432163249207124,0.6062738050812634
7,0.7440388845413302,0.7678188585933333,0.7415656268835312,0.7421800462340464,0.7373778189276051,0.8325488674418056,0.760740464494159,0.7407437210750533,0.8196938011315631,0.7148331867676645
8,0.765695236042951,0.8233888836608927,0.7588325916434171,0.824756566560006,0.8376874814516064,0.8234148615098403,0.817680210186618,0.7616760695841314,0.8282697984321221,0.739933994195817
9,0.7762813722228538,0.838411922922669,0.7355270673174076,0.8453685144321593,0.8515816053305704,0.8363126657848062,0.832467477046058,0.7893718845071147,0.8246288429875691,0.7957375641540457
10,0.8513306737012118,0.8145349176523239,0.8000593066473877,0.8691288431527556,0.857586867372201,0.86450433451437,0.8486368855486213,0.7798961705746535,0.847545187436658,0.8112182806237367
15,0.8911013223584152,0.8723027523147624,0.8435366084503559,0.8856948473932601,0.9115299250836588,0.9001214098966152,0.900125160678399,0.8292401106290379,0.8776914695825059,0.8934530563042653
20,0.9297620532480416,0.914000683421156,0.8830300745717675,0.9278847580041828,0.9160683005829429,0.9322339195842346,0.9260336560078463,0.8901741086291494,0.9196076531148935,0.9352473570838085
25,0.9301665388297423,0.9368033343718114,0.93197978944418,0.9533342998280273,0.9290224795049715,0.9463379301915456,0.943899788833506,0.9203575171130542,0.9274041341678224,0.9402276609880716
30,0.9531568437611483,0.961818048527182,0.9314515898557947,0.9477760404190626,0.9444545677248345,0.9511643415252514,0.9555799719887762,0.9278865482855977,0.949823688276373,0.9532687201484169
35,0.9639332887309566,0.9627062460420186,0.9290467206317462,0.9448779230256165,0.9515560328526639,0.9642812622643525,0.9648728882505888,0.9373840791083236,0.9504551851020969,0.9571831007961159
40,0.9612268468525639,0.9698499559202625,0.9492040775582162,0.9631918337879091,0.9585910895543875,0.9627293545828515,0.963903854972106,0.9469888550039692,0.9666610139523434,0.9610178396539819
45,0.9644111706448717,0.9708116559811717,0.9612358491688472,0.9559210168416439,0.9596836783077052,0.9681387192407531,0.9668199064736943,0.958696277732736,0.9691872146393788,0.9650893349726549
50,0.971114982173098,0.979302176406091,0.9655656906903448,0.9720672493974856,0.9683802458526831,0.9729727673788733,0.965927983369366,0.9572191266132056,0.9717510433386166,0.9696949192479282
55,0.9725076327682766,0.9791621445188444,0.9586705117362594,0.9743086879304612,0.966144807349903,0.9723249681164874,0.9640345325129802,0.9659879165351706,0.9720070550723784,0.9686440769020481
60,0.9754650605083572,0.980535125316237,0.9768886993839546,0.9729524549649464,0.9723329174810085,0.9752458332071231,0.9689325402164672,0.9700222140075163,0.9732687795417988,0.9724242524114429
