,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.3352495193481446,1.3854355010832808,0.06497087478637695,0.11952072957099838,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.7995594713656378,0.777132822789134,0.7648763494236679,0.7628092941361141,0.7286618086302318,0.7666140498371015,0.02303991661670178,372,0.7615073514443244,0.776065009229542,0.7508146078830185,0.7810041584671853,0.7860785746684504,0.7710939403385041,0.013043137864377701
1,0.6761911392211915,0.2042674013144516,0.011170005798339844,0.016356301310024066,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.9105390413881378,0.8963113140123414,0.8801190424051197,0.8710322771372534,0.8498694174884501,0.8815800188327907,0.020855804304884543,336,0.8961626919144849,0.8927234202162317,0.8579407591463476,0.8662839249909207,0.8996027447438707,0.8825427082023711,0.017028209706817878
2,0.7176738262176514,0.17122106429466238,0.022539901733398437,0.03214188283700335,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.9143872113676729,0.9060360048182452,0.9040989064634808,0.8929217763266151,0.8462511577970083,0.8927435287072137,0.02422972268195787,284,0.8883287030074198,0.8974018707537165,0.8840854120057203,0.9018843933257579,0.8967439360798694,0.8936888630344969,0.0064999107927494835
3,0.5591047286987305,0.07599796387273013,0.009374904632568359,0.012765622142873297,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.8982501620220346,0.887030346440273,0.8988592213379512,0.8904736073528697,0.8343673869308232,0.8817991893758608,0.024139572236517203,333,0.881188891276493,0.8909450176341819,0.8773056462936095,0.881791165767843,0.8876602136413372,0.8837781869226928,0.004878116052325846
4,0.6197500228881836,0.10600019514728366,0.0025927066802978516,0.0004882960019267396,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.9137881815586637,0.9198043021682306,0.9032340264658196,0.8859695117476467,0.8504147453283473,0.8946472184445562,0.02491828412420696,259,0.8922571575893029,0.9189466513032291,0.905078720807639,0.8947507694384206,0.8864557924099588,0.89949781830971,0.011440801175839248
5,0.708903455734253,0.12710366145675367,0.049523353576660156,0.09356208873571774,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.9159055865259158,0.9233886915853566,0.9188723783786025,0.906267231629586,0.8877968843244246,0.9104480591344644,0.012638576658369583,112,0.8869642915962784,0.9134554875843462,0.919849091365269,0.9177353600259182,0.9162108324493016,0.9108430126042227,0.012119783331543144
6,0.6227346897125244,0.1879052922864859,0.002792549133300781,0.0003989697215063215,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.9159055865259158,0.9010762322494626,0.9088558917089834,0.8962205448976793,0.8935691918984058,0.9031273661273004,0.008239170991565464,171,0.8815655901867718,0.9010535382529004,0.9082078395112955,0.914462868329786,0.9175891673428676,0.9045758007247244,0.012823179357973126
7,0.7069092273712159,0.1327945914984234,0.0027924060821533205,0.00039877898667711303,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.9237076480844444,0.913303837843401,0.9158991524496839,0.9040989064634809,0.893785205766358,0.9101613640968607,0.010307806018570127,115,0.8956808974233792,0.9155873275850055,0.915154659865966,0.9182230286649479,0.9134021706080552,0.9116096168294707,0.008112509846626308
8,0.5682791709899903,0.12007601426291147,0.002992057800292969,0.0006307510763766286,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8654877806477245,0.9206687110172259,0.9190891437931066,0.9010528873495387,0.8796886594525932,0.897194247751763,0.02171418712713639,238,0.8495368176905338,0.917333193845872,0.9092267283361491,0.915412242928205,0.9149920943713971,0.9013002154344314,0.026022883077496645
9,0.9799792766571045,0.30945743731090564,0.0035895824432373045,0.0007977850815008047,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.9305337978442326,0.912871775885476,0.9088558917089834,0.9109994659698366,0.9010528873495387,0.9128655855172839,0.009709809197208817,86,0.9036149913236838,0.9103026496914455,0.9157915138123082,0.9323475099620901,0.9278305998378966,0.9179774529254849,0.010710222043111941
10,0.7172809600830078,0.2945884489858485,0.002792835235595703,0.000399116518373821,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9186630053972158,0.9208850671483817,0.9067000939621268,0.9112158450675023,0.8769595823268088,0.9068877166189768,0.0158046457759919,142,0.8844331162991408,0.9227693870635253,0.906105388864009,0.9262876253668305,0.9141920196990927,0.9107575074585197,0.014912286649278237
