,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.24993152618408204,0.08455269008197956,0.001595783233642578,0.0004884608551226126,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5687415671506535,0.5984050070664244,0.606511205330103,0.6293054714314555,0.5990726664639707,0.6003977638924615,0.019403220499872482,366,0.5799118984463811,0.626764452495085,0.6207802248779518,0.6294461993858931,0.6055394280871842,0.6124884406584991,0.018273716966019843
1,0.2541204929351807,0.05610402821583532,0.0009977340698242188,4.101908334275545e-07,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.7684515778238717,0.7138199071269936,0.7618917827579246,0.7422471229557843,0.7731478666261274,0.751910192983357,0.021763536608663422,316,0.757434950107364,0.7612339570125252,0.7449512911705582,0.7612317479953167,0.7460160178968661,0.7541735928365261,0.007237397663602876
2,0.26588850021362304,0.08788425308014955,0.0009975433349609375,2.611744678045111e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.7685522685623376,0.7420654149000605,0.7596910963052695,0.7646779729456894,0.7991588122022905,0.7668196078453531,0.018522307134556125,292,0.7942686623721106,0.7871700280545186,0.7707349400251827,0.7606839117276721,0.7831587615449416,0.7792032607448851,0.01200633531072482
3,0.2004624843597412,0.10951839784858787,0.001196908950805664,0.0003993273457524769,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.78310711480758,0.7729254996971532,0.7406016555622856,0.7022410660205934,0.7179740549305766,0.7433901058619846,0.030978125323966755,324,0.7648367437160541,0.7979146877554175,0.7555236475292142,0.7536769091431221,0.7400108828885179,0.7623925742064651,0.019451887276158954
4,0.34966444969177246,0.11881007745697632,0.0013966560363769531,0.0004884220223977446,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.8329087540528022,0.8040985261457703,0.7968201090248335,0.811699979810216,0.8198337893990066,0.8130762922345548,0.012540240596654186,250,0.8283251231527093,0.8510437606308954,0.8031831937970797,0.8496653338929508,0.8038939429096027,0.8272222708766476,0.020949743900027615
5,0.38497004508972166,0.15961283200518125,0.0009974956512451172,3.504023183989303e-07,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.800722959502185,0.7338279830405814,0.8012113870381589,0.7645871189178276,0.8353197527110569,0.7871230958962449,0.034788715015925425,276,0.8032730200833649,0.7624400804082263,0.8046035918619806,0.8181073140559763,0.8439194540144365,0.8064686920847969,0.026420547515321077
6,0.3648240566253662,0.16047772426263102,0.0015958309173583984,0.0004888891556079747,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.8346758765128784,0.8339491217443972,0.8429234807187563,0.8617807389460932,0.8453633323198539,0.8437351909627416,0.01006889440173188,223,0.8406103953517747,0.8622258057390267,0.8458923325012702,0.8878194791137421,0.8829947615852953,0.8639085548582217,0.019006502755546294
7,0.30259037017822266,0.08801101265228128,0.0009974956512451172,9.536743164062499e-08,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.8379231528284027,0.8210377548960226,0.8383908742176459,0.8107409650716737,0.857383196513631,0.8330891452136474,0.01603417523250507,227,0.843382910193255,0.8653559831231086,0.8729903465947999,0.8179902361439395,0.8673718896124533,0.8534182731335112,0.0203771082663284
8,0.5385594844818116,0.05703820233282854,0.0011968135833740235,0.00039901736247607795,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.8503232172704753,0.8420048455481525,0.8644861699979811,0.8632949727437915,0.8444562683693116,0.8529149168197626,0.009368394588991224,211,0.867004547176961,0.8894453157790099,0.8853056175307604,0.8771808522388389,0.8740431759370887,0.8785959017325317,0.007997740292307083
9,0.40391969680786133,0.058157560108695855,0.0015955924987792968,0.0004883054777557068,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.919306442193447,0.8754290329093477,0.8963961235614781,0.8781748435291742,0.8777338603425562,0.8894209712469059,0.01674399703375515,161,0.9015236200581029,0.9129713490468092,0.9142525790275906,0.9096975855441912,0.8993771028060953,0.9075644472965578,0.00603390710737912
10,0.26309618949890134,0.07466898287381796,0.0011968135833740235,0.00039877892965964237,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9031707513542903,0.8558348475671309,0.8703008277811429,0.8881082172420753,0.9251646903820818,0.8885090364494973,0.02431523140912319,163,0.9026035745863333,0.8976739048797191,0.8957034615299653,0.8946939406657975,0.9233661165112209,0.9028081996346072,0.01063343126647904
