,0,1,2,3,4,5,6,7,8,9
2,0.8705596222337846,0.7643945146553057,0.751586411913106,0.8276440997979511,0.7873613448149522,0.6859509480127917,0.7344318011741772,0.7603654342538211,0.876442806312604,0.8858517075244475
3,0.5982078995030773,0.5386665247625079,0.60842196639739,0.568593414280865,0.7040408597356467,0.5983850953450823,0.6391900075702753,0.5832414104928694,0.6296257979317016,0.6068240120360745
4,0.4963429535192235,0.42525600551629505,0.6235192401083296,0.4725177076835607,0.449764382158147,0.5199963016473971,0.5234014054105574,0.5396432107912834,0.45934268177920073,0.5129527659622809
5,0.523831642683044,0.4003304774321185,0.39752036015492276,0.19651670072323124,0.2863395144305631,0.4410139990800334,0.5247112562233273,0.31061239675834434,0.4725106130420583,0.5158487765573386
6,0.17041468836937387,0.29335420213957925,0.2156625583772605,0.316846266230145,0.2226410821563648,0.17283633994126724,0.3584920878983952,0.35380403953630374,0.2818487375635687,0.37500000000000144
7,0.12500000000000103,0.1713066543596482,0.1108776017240609,0.05107428006003873,0.035630075721693494,0.14053218426841863,0.4030338443076825,0.13531209221207155,0.2051205979873032,0.2793455869312206
8,0.12500000000000108,0.12499999999999953,1.740981839539934e-30,0.05224309359515816,3.1524373770274336e-29,5.70937766359008e-30,0.11576122036125056,1.7660060725033028e-30,0.28127785464573124,0.1250000000000004
9,0.12500000000000108,0.1713066543596482,2.1013000694427733e-30,3.53828922003941e-30,5.987980779953344e-31,4.469972922879252e-30,1.9896057894474974e-30,1.4108416255658938e-30,0.19666787677478134,1.1605574845041094e-29
10,0.12500000000000108,0.12499999999999935,1.5175346957192915e-30,2.7017194378641917e-30,2.017621483285705e-30,8.254870701088077e-31,1.0379406354200348e-30,8.11429214162047e-31,0.19666787677478145,1.2404246962950674e-30
15,1.6131372238614006e-30,6.569577980325629e-31,7.835313889562401e-31,2.039076354332525e-30,1.1490736259159404e-30,6.8080641667301185e-31,1.0066057362512048e-30,7.483993280730727e-31,1.002728941504412e-30,1.0471533225908375e-30
20,1.5050897657522852e-30,5.053235194386644e-31,6.874829847958061e-31,9.180497832440672e-31,1.694754696382713e-30,1.0257846348297426e-30,5.924947724748645e-31,1.6259929469830574e-29,1.278864497350337e-30,1.0038543283339073e-30
25,3.4284580766575877e-31,1.2687129362708597e-30,3.373712339288881e-31,8.031355060864618e-31,1.5813391886756076e-30,4.772859049604226e-31,1.0473837321697775e-30,1.030292481878743e-30,1.0186242966828524e-30,2.9847212364521256e-29
30,5.894183458768281e-31,2.914248116872248e-31,1.1553303927765459e-30,2.9509625032000797e-30,7.430403553130166e-31,9.958530044884789e-30,7.53929825463227e-31,2.063465817146597e-30,1.8887208999513953e-30,4.486660043629794e-31
35,8.247256219098169e-31,7.140432733404747e-31,1.1890593363755927e-30,6.515014354059526e-31,3.149540111527183e-31,7.936979035404115e-31,4.4382548921172245e-31,2.5215194632015974e-29,7.516962918721093e-31,4.733147308107352e-31
40,1.1965693960331515e-29,3.8889580093891644e-31,3.9068964877261225e-31,3.374058437533963e-31,6.455152633040432e-31,5.1572690902669235e-31,4.601743293645336e-31,6.171943306564577e-31,5.122211495502212e-31,4.198041629297792e-30
45,4.03918700377049e-31,3.997715722665207e-31,2.5697167282047306e-30,7.972200197482128e-31,6.438122656052998e-31,4.5342368750967505e-31,8.970697531049458e-31,1.460190217977243e-29,2.6379069530965548e-30,3.861969670649654e-31
50,5.375398527237348e-30,2.6235004943739807e-30,6.622614990039012e-31,8.990758967876767e-31,7.145623441484424e-31,9.158591872779225e-31,5.777368578224274e-31,2.9129803402305793e-31,4.282207687138458e-31,4.484446440001055e-31
55,1.0585127554571778e-29,5.24385474045553e-31,1.0591522086864424e-29,4.803900020521831e-31,3.641421430538373e-31,6.535193524153192e-31,6.038176790922136e-31,3.19170367392675e-30,1.3293461409266339e-30,3.120474764144451e-31
60,5.865039492729703e-30,4.031665682512332e-31,4.781779042088071e-31,6.598483815783437e-31,4.715708460289483e-30,1.1012521147145472e-30,4.312486819845269e-31,2.1553220579582542e-30,4.155422039309913e-31,5.430002520580908e-31
