,0,1,2,3,4,5,6,7,8,9
2,0.5981485528931437,0.9023344364404763,0.7798321588785195,0.8767823945142883,0.9090359456730338,0.8924047746261466,0.8431021340317243,0.899199223220534,0.8105029186087528,0.7593536049418315
3,0.8380716073114363,0.9336806728635847,0.8943880620671396,0.9500550205175692,0.7594716482402437,0.9257031707932811,0.7423899296506122,0.9498449450891182,0.9366308667052039,0.9105094508133466
4,0.9585825961625642,0.9506780591505165,0.7665371306708789,0.9535268551333006,0.9373190713649306,0.9423837092423255,0.8736614377447106,0.8342913975012692,0.9643371521661002,0.8821019136464205
5,0.8309084834998713,0.9640945645214557,0.8998014443027053,0.9670508117292003,0.9499194361997917,0.9251534601542901,0.9073985838700896,0.951270525653867,0.8965393445092764,0.842277240276169
6,0.9733765035227763,0.8808381922252524,0.9742181207511411,0.9771846352819087,0.9708672993971975,0.9481642161195145,0.9536112151956629,0.9224044036556962,0.9685904499245112,0.8082375068794844
7,0.9699702298800846,0.965277802646003,0.940602416439302,0.9900519003105693,0.9785167058482035,0.9661609222433294,0.9565219624404435,0.9382707056828682,0.9447976563100666,0.9446811754760872
8,0.9669463483013316,0.9597676248205143,0.9420721490332804,0.9763268883550055,0.9821249737703979,0.9748088276270299,0.9748019610813317,0.9525047669716793,0.9546964659247704,0.930158434968073
9,0.9411701839226759,0.962751121983526,0.9552133939036179,0.9878991451910983,0.9612389651836499,0.9601372379869084,0.9684872592582493,0.9668389745895063,0.9682635187543529,0.8520061924791045
10,0.9316172543025049,0.9722074530770779,0.9601938386801587,0.9827676192532631,0.9641948787695309,0.9820281394334633,0.8773375960212434,0.941190778304631,0.960122268450294,0.9429484599489268
15,0.9805595163657673,0.9734417203831354,0.9674809743510441,0.9857858777322253,0.9867380123934985,0.9864285739395615,0.9889878983209116,0.99010214028123,0.9772921541435908,0.9766607174417017
20,0.9762712742036443,0.9870853231705848,0.9683433657665136,0.9853290392431938,0.9944497562292293,0.9823148732112919,0.9871976477587386,0.9483563058787564,0.9842793654483998,0.9664459145145045
25,0.9827087379801764,0.9906369768974869,0.9916435060061072,0.9898302579116328,0.9891019761929177,0.9857428253798696,0.9883350442239778,0.9980817433713419,0.9963460987968314,0.9504502074563473
30,0.9719266829896751,0.9899821021124215,0.9913232136282728,0.9931525903382431,0.9887687096712928,0.9886866825186418,0.991136160030431,0.9896249564181344,0.9922794842736857,0.9841610842531486
35,0.9914937289166589,0.9897372638206191,0.9952106384639849,0.9909639643902407,0.9916493163595432,0.9947235579798569,0.9876747309545694,0.9948548320778869,0.9782016051929271,0.9898841706031113
40,0.9877335213546669,0.9833174389177382,0.9834967253596536,0.9938198200897971,0.9770277336391187,0.9894384948516444,0.996323395945936,0.9850014758505123,0.9814584574578995,0.9582274705718064
45,0.9867250375485244,0.9919212391307083,0.9916236996014623,0.9891413523236123,0.9939971315239091,0.9934492734686081,0.993893064461734,0.9900097029754649,0.9960319691948668,0.9846969382981685
50,0.9819691750393309,0.9905496448959673,0.9965896423258314,0.9951092733494981,0.9876634290716335,0.9913559690851883,0.9892812920121875,0.9875337503477158,0.9952093382561391,0.9964992339598127
55,0.9928059070684725,0.9945298529266754,0.9780026567671221,0.991555324376406,0.9865779237575314,0.993383095851748,0.9888057486831636,0.9925539609688133,0.9909821507529321,0.9962062656053013
60,0.9958715179647013,0.9947103438434071,0.9990139314663643,0.9911791966666978,0.9853230983516491,0.9961738295650794,0.9923345412347983,0.9922069294372835,0.9971240741288324,0.9968638452317587
