param_SVM__max_iter,train acc,test acc
1,0.5026177918647202,0.5142039858847137
2,0.601658964127125,0.6057895320345554
4,0.6853914043135507,0.6806339369630747
8,0.7022213387900488,0.6967695975334076
16,0.7022213387900488,0.6967695975334076
32,0.7022213387900488,0.6967695975334076
64,0.7022213387900488,0.6967695975334076
128,0.7022213387900488,0.6967695975334076
256,0.7022213387900488,0.6967695975334076
512,0.7022213387900488,0.6967695975334076
1024,0.7022213387900488,0.6967695975334076
2048,0.7022213387900488,0.6967695975334076
