mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.010167121887207031,0.000748931922810005,0.0006031036376953125,0.0004925436932668919,1,{'Boost__n_estimators': 1},0.9552861111505497,0.9585729825035371,0.95603726322425,0.9545309970614625,0.9556822011972523,0.9560220794877764,0.0013702475705616836,11,0.9576022004840684,0.9567813334147321,0.9574131627354654,0.9577902259858806,0.9511811043448933,0.956153605393008,0.0025093125968900904
0.016754627227783203,0.0009663978231784717,0.0009970664978027344,6.572746635480032e-07,2,{'Boost__n_estimators': 2},0.9552861111505497,0.9585729825035371,0.95603726322425,0.9545309970614625,0.9556822011972523,0.9560220794877764,0.0013702475705616836,11,0.9576022004840684,0.9567813334147321,0.9574131627354654,0.9577902259858806,0.9511811043448933,0.956153605393008,0.0025093125968900904
0.038299942016601564,0.0010173485052580602,0.0011951446533203125,0.0003996195360818785,5,{'Boost__n_estimators': 5},0.9178628389154706,0.9282296650717703,0.9106858054226474,0.9297124600638978,0.9273162939297125,0.9227588885227681,0.007331967748176509,13,0.9233838786911414,0.9207901037509977,0.9251795690343176,0.9204228161148783,0.9246110889509374,0.9228774913084544,0.0019464823628415253
0.07480001449584961,0.0010917964654745622,0.0017948150634765625,0.0003997088438569229,10,{'Boost__n_estimators': 10},0.9768740031897927,0.9752791068580543,0.9848484848484846,0.9808306709265177,0.9808306709265177,0.9797318095761677,0.003364583477845944,10,0.9804469273743016,0.9808459696727855,0.9784517158818834,0.9794575189469487,0.9794575189469487,0.9797319301645736,0.0008416479879494277
0.1573777675628662,0.0038526135419244927,0.0037900447845458985,0.000398707999314678,20,{'Boost__n_estimators': 20},0.9920255183413078,0.9856459330143541,0.9904306220095693,0.9896166134185302,0.992811501597444,0.9901059920447596,0.002499727659719341,9,0.9898244213886671,0.991420590582602,0.9876296887470073,0.9890307140007978,0.9934184284004787,0.9902647686239107,0.0019970947320850888
0.2355783462524414,0.017046104813667695,0.004986619949340821,1.2025375569265833e-06,30,{'Boost__n_estimators': 30},1.0,0.9936204146730461,0.9904306220095693,1.0,1.0,0.9968097165236807,0.0040349204070686505,8,1.0,0.9952114924181965,0.9876296887470073,1.0,1.0,0.9965682362330408,0.004838788951707568
0.31436772346496583,0.014018195309633585,0.005383729934692383,0.0004909556460190168,40,{'Boost__n_estimators': 40},1.0,1.0,0.9904306220095693,1.0,1.0,0.9980858299142084,0.0038279720442521183,7,1.0,1.0,0.9876296887470073,1.0,1.0,0.9975259377494015,0.004948124501197082
0.3833831787109375,0.0067496673962934494,0.00638275146484375,0.0004889670460316098,50,{'Boost__n_estimators': 50},1.0,1.0,0.9920255183413078,1.0,1.0,0.9984048582618403,0.0031899767035434173,4,1.0,1.0,0.9954110135674382,1.0,1.0,0.9990822027134876,0.0018355945730247126
0.4645690441131592,0.008038942952419414,0.007974624633789062,0.0006290988004353308,60,{'Boost__n_estimators': 60},1.0,1.0,0.9920255183413078,1.0,1.0,0.9984048582618403,0.0031899767035434173,4,1.0,1.0,0.9954110135674382,1.0,1.0,0.9990822027134876,0.0018355945730247126
0.526203203201294,0.007184349654803252,0.009368371963500977,0.0007850170497550185,70,{'Boost__n_estimators': 70},1.0,1.0,0.9920255183413078,1.0,1.0,0.9984048582618403,0.0031899767035434173,4,1.0,1.0,0.9954110135674382,1.0,1.0,0.9990822027134876,0.0018355945730247126
0.6095768451690674,0.007569986449865986,0.009977960586547851,1.0486732182375672e-05,80,{'Boost__n_estimators': 80},1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,3,1.0,1.0,0.9988028731045493,1.0,1.0,0.9997605746209098,0.00047885075818028256
0.6977532863616943,0.018231598446621877,0.011368513107299805,0.000490374103282336,90,{'Boost__n_estimators': 90},1.0,1.0,0.9992025518341308,1.0,1.0,0.9998404858261841,0.0003189976703543506,2,1.0,1.0,0.9988028731045493,1.0,1.0,0.9997605746209098,0.00047885075818028256
0.7725342750549317,0.009931719032463327,0.012167644500732423,0.00039985186653780343,100,{'Boost__n_estimators': 100},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.9996009577015165,1.0,1.0,0.9999201915403033,0.00015961691939341273
