,train,test
0.1,0.0041461128013907,0.0022206394001841544
0.2,0.006202795400167815,0.0027282643990474754
0.3,0.008003477400779956,0.0010183128004427999
0.4,0.008962275599333224,0.000868942999659339
0.5,0.010378957400826038,0.0007569881992822048
0.6,0.011486177598999347,0.0006987136002862826
0.7,0.013110357599362032,0.00048136839977814817
0.8,0.017273391400522087,0.000499091199162649
0.9,0.018919598200591282,0.00028356960028759205
