param_Boost__n_estimators,train acc,test acc
1,1.0,1.0
2,1.0,1.0
5,1.0,1.0
10,1.0,1.0
20,1.0,1.0
30,1.0,1.0
40,1.0,1.0
50,1.0,1.0
60,1.0,1.0
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
