param_SVM__max_iter,train acc,test acc
1,0.885221895778568,0.8895627832577979
2,0.8609262409154167,0.9158668799431262
4,0.9076496056904284,0.8941763677834058
8,0.9024524509045925,0.9118161082970466
16,0.9042137003247255,0.9126455167510885
32,0.9189902582341117,0.931862614413934
64,0.920593783825576,0.9283450339168813
128,0.9222328745940931,0.9255235640866137
256,0.9233539508272768,0.9318626144139339
512,0.9210267511983917,0.9308999081726353
1024,0.9172336477501161,0.9235981516040167
2048,0.9170094325034791,0.9253902662993571
