mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.057746171951293945,0.029075403583426362,0.0025754451751708986,0.002116766607963928,relu,10.0,"(22,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 1e-06}",0.5655492927084369,0.5597410722537804,0.5869230349952959,0.6024180034085137,0.5637090610446762,0.5756642600341851,0.01637641305835257,2948,0.5774844681827507,0.5812981632792771,0.5729404275635245,0.5723455201781096,0.5779430665062444,0.5764023291419813,0.003345341535250956
0.14758448600769042,0.03200692726203733,0.001396942138671875,0.0004889678132945025,relu,10.0,"(22,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.001}",0.943676969602317,0.9304442722367176,0.9317121318763611,0.9271513275638622,0.9392615203490166,0.9344510466592469,0.006084986005140536,2760,0.9451070773383106,0.9294830172161636,0.9275155149364511,0.9459123810923178,0.9404795425389674,0.937699506624442,0.007762427397271028
0.08896222114562988,0.017358921207579696,0.0015954971313476562,0.0004885192613241603,relu,10.0,"(22,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.002}",0.9453274743373135,0.9224697905780255,0.9333070282080995,0.9319436598322328,0.9376640762595598,0.9341439233294424,0.007475508792188912,2763,0.9473018099799706,0.9224166493545829,0.9277150360856928,0.9479067967285363,0.9398398927859033,0.9370360369869373,0.010315315529749862
0.06827421188354492,0.010330042137684629,0.0009973526000976562,4.6231077741778654e-07,relu,10.0,"(22,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.004}",0.9412846251047094,0.9479881318858403,0.9518118543691391,0.9295474936980473,0.9400602423937451,0.9421405952571069,0.007632742059834708,2720,0.9439099504428596,0.9409055844880568,0.9458659040063967,0.9455134979650739,0.9402525509338798,0.9432894975672534,0.002318408769097301
0.056249046325683595,0.012688099647106895,0.001467752456665039,0.0004493420608354931,relu,10.0,"(22,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.008}",0.943732578005575,0.9511779245493173,0.9542587049820959,0.9389648182521636,0.9400602423937451,0.9456404456308856,0.006070479533198309,2653,0.9457607833324834,0.9462233824858216,0.9486869093084879,0.9476798051234487,0.9390834515936144,0.9454868663687712,0.0033666143965170106
0.04730629920959473,0.005343787475255556,0.0011110305786132812,0.00014019977445541408,relu,10.0,"(22,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.016}",0.9516514512610094,0.9511779245493174,0.9590979000926604,0.9431257684584309,0.9480474628410294,0.9506218091372739,0.005215454874374809,2592,0.9512922329648071,0.9504825996516642,0.949484993905455,0.9526933942554608,0.9494681879226838,0.9506842817400141,0.001213588805064017
0.044977426528930664,0.010661044904480148,0.001596212387084961,0.00048822732344506266,relu,10.0,"(22,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.032}",0.9532463475927476,0.9512324306646665,0.9621241744100897,0.943014208470014,0.9424564085279304,0.9504175128936264,0.007264382350442477,2593,0.9513060186014188,0.9514524961851677,0.9540047073062526,0.9541308102630126,0.9462082478010697,0.9514204560313843,0.0028707355101281903
0.052575111389160156,0.01588067018186731,0.001047658920288086,0.0001016636950238116,relu,10.0,"(22,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.064}",0.9462917477129567,0.9504349824987973,0.9551106592633143,0.9439244905031594,0.9431993505784506,0.947793317068828,0.004446080138213444,2643,0.9493042848723242,0.950867787343795,0.9466916978160695,0.9493304377153551,0.9443719486662744,0.9481132312827638,0.002302421866621644
0.04571733474731445,0.007178705935596937,0.0011113643646240234,0.00013948791801508784,relu,10.0,"(22,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (22,), 'MLP__learning_rate_init': 0.128}",0.9446968513812181,0.9472451898353204,0.963991601318574,0.9431815484526392,0.9548834791525238,0.950799338822301,0.007728339674438622,2591,0.9418879088404767,0.9424740444692856,0.9543566291253759,0.9521298033534326,0.9533683702713723,0.9488433512119887,0.005488516110609435
0.0375946044921875,0.004258586538708116,0.0014192581176757813,0.0007871583035403888,relu,10.0,"(11,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 1e-06}",0.49022711891679566,0.47357519829561745,0.48009815840425046,0.48723824941015625,0.47644660074341677,0.4815183052423559,0.00631565069299788,3298,0.4781549541131003,0.4827193050825809,0.4822869969110896,0.48047450058514213,0.48240004111769624,0.48120715956192184,0.0017162952228847806
0.15119194984436035,0.06563160495160666,0.0011301517486572265,0.00016278632555075448,relu,10.0,"(11,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.001}",0.927616789478417,0.9040194705323351,0.9044898820061095,0.9180864851008075,0.8926389396579143,0.9093743542349558,0.01217695232685038,2817,0.9296888063002434,0.900427759118924,0.9042879339862829,0.9322677046416341,0.8926207510170927,0.9118585910128354,0.016078070466389198
0.12800774574279786,0.016922569638483754,0.0010591983795166016,0.00011436783920944765,relu,10.0,"(11,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.002}",0.9260218931466785,0.9312417204025869,0.9166696289555442,0.9205384312292013,0.9376082962653512,0.9264151155816007,0.007458792580795461,2783,0.9292897640017599,0.931004356718032,0.9136321621276409,0.9354725446803167,0.9379898186303749,0.929477729231625,0.008506954771866823
0.09893584251403809,0.013724079447770467,0.000997447967529297,2.4314019744838644e-07,relu,10.0,"(11,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.004}",0.9332545350427593,0.9440008910564942,0.9494195098715315,0.926983987581237,0.9416576864832019,0.9390638876606816,0.007974593714757295,2747,0.935929104473187,0.9400382268593253,0.9416621052659656,0.944488740105499,0.9401836758302154,0.9404603705068384,0.0027734118022982985
0.0705174446105957,0.009236166846887868,0.0009461879730224609,0.00010259188858751285,relu,10.0,"(11,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.008}",0.9460693140999248,0.9400136502271483,0.9494195098715315,0.9293801537154224,0.9416576864832019,0.9413105770411293,0.0068188192498885546,2722,0.9479003734276963,0.9372449307699398,0.944269734812462,0.9462837141780955,0.941421650274145,0.9434240806924677,0.0037715103754211938
0.06040115356445312,0.016405902721658473,0.0011970043182373048,0.00039868361926252103,relu,10.0,"(11,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.016}",0.9484616585975323,0.9472451898353204,0.9527183147657066,0.9333737639390645,0.9456512967068442,0.9454923415288136,0.006494850913110415,2654,0.951491754114049,0.944269734812462,0.9444969651744095,0.9464969307624506,0.9422745166115643,0.9458059802949871,0.003141663348795706
