param_SVM__max_iter,train acc,test acc
1,0.9219347490033357,0.9211389290838878
2,0.9406389043928707,0.9581881004601949
4,0.906388285324092,0.9300220238257753
8,0.9311689585060345,0.9420570131930605
16,0.9211113311064495,0.925128851515124
32,0.9322691248490614,0.9630729304125979
64,0.9453445762330313,0.960473906620192
128,0.9479361118365268,0.9555890766677891
256,0.9476390233041442,0.9593310035401935
512,0.9479582061959412,0.9593310035401935
1024,0.9477986147500428,0.9593310035401935
2048,0.9477986147500428,0.9593310035401935
