mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.006194496154785156,0.0007506139907036815,0.0005995750427246094,0.0004895634505532848,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.7756733349424275,0.793472774195383,0.7837943839742543,0.8000453360803993,0.7749324706027563,0.7855815487401209,0.00986046914810491,197,0.7880622909178446,0.7836078669270246,0.7860298299306321,0.7819695643138684,0.7882414941839049,0.7855822092546549,0.0024646377727954717
0.007400417327880859,0.0004929613849775788,0.0007980823516845703,0.0003990412435060334,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.9038791002323722,0.9111419979098089,0.9002846167153666,0.9102286267677512,0.9107484488414377,0.9072550437961809,0.00438510443874367,195,0.9080984241090329,0.9062804041929523,0.9089988705902714,0.9065116004189384,0.906381033958981,0.9072540666540352,0.0010971545992001254
0.00898585319519043,1.2289639443446717e-05,0.0007985591888427735,0.0003992805162333636,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.9543774461781648,0.9631941531527046,0.9551853089430316,0.9511129889057152,0.9556822011972523,0.9559109570927842,0.0039747253257947455,191,0.9592876057343503,0.957083393468746,0.9590841616214663,0.952322653643693,0.9511811043448933,0.9557917837626299,0.003406523369404878
0.01118001937866211,0.0003936532791200249,0.0007874965667724609,0.0003939071212765072,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.9742769724418953,0.9808813875835067,0.9781276438428232,0.9735507882781309,0.9601196777577867,0.9733934478199402,0.0071468109759554935,185,0.9778140190140988,0.9761626681926986,0.9768499159388431,0.9779943303199612,0.9689973162408532,0.975563649941291,0.0033496987749523323
0.011374187469482423,0.0004838810972655636,0.000997304916381836,5.43678009557313e-07,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.9756683656808599,0.981624329634027,0.9796135279438634,0.974293730328651,0.9796794667907277,0.9781758642345175,0.002741364956588131,182,0.9794703706646396,0.9776480005358102,0.9781495817390657,0.979479662663073,0.9816795186622648,0.9792854268529705,0.0013982071678861523
0.012781000137329102,0.0007505517538430423,0.0007988929748535157,0.0003994491769910259,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.9976076555023923,1.0,0.9984051036682614,0.992811501597444,0.9920127795527157,0.9961687853194968,0.0031711443477285633,178,0.9994014365522746,0.9988028731045491,0.9992019154030328,0.9948145193458319,0.9948145193458319,0.997407052750304,0.0021255527309222973
0.013374614715576171,0.0008058354048116704,0.0007978439331054688,0.00039892222303928974,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
0.012979888916015625,0.0006389624254024269,0.000399017333984375,0.0004886945264472148,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
0.017961740493774414,0.006759858503042945,0.000997018814086914,9.464947338714222e-07,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
0.012571048736572266,0.0004821196116276658,0.000997161865234375,6.14361702286011e-07,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
0.013181638717651368,0.0003931948839355862,0.0007984161376953125,0.0003992122551051058,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
0.014563035964965821,0.0018401298994330777,0.0010035514831542968,1.0419082858083848e-05,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
0.014768028259277343,0.0007281952524885577,0.0009978294372558593,4.6231077741778654e-07,balanced,gini,13,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 13}",1.0,1.0,0.9984051036682614,1.0,1.0,0.999680971652368,0.0006379953407087455,1,1.0,1.0,0.9992019154030328,1.0,1.0,0.9998403830806065,0.00031923383878686986
