param_MLP__max_iter,train acc,test acc
1,0.7185254790981211,0.7038818567442368
2,0.774203611781914,0.7639006001407181
4,0.8592202148798733,0.8333800971082799
8,0.9001651462927217,0.870934034453697
16,0.9325275280530491,0.9007385205369187
32,0.950213588730696,0.9074336986710622
64,0.9593940238963246,0.9123696754034138
128,0.9593940238963246,0.9123696754034138
256,0.9593940238963246,0.9123696754034138
512,0.9593940238963246,0.9123696754034138
1024,0.9593940238963246,0.9123696754034138
2048,0.9593940238963246,0.9123696754034138
2100,0.9593940238963246,0.9123696754034138
2200,0.9593940238963246,0.9123696754034138
2300,0.9593940238963246,0.9123696754034138
2400,0.9593940238963246,0.9123696754034138
2500,0.9593940238963246,0.9123696754034138
2600,0.9593940238963246,0.9123696754034138
2700,0.9593940238963246,0.9123696754034138
2800,0.9593940238963246,0.9123696754034138
2900,0.9593940238963246,0.9123696754034138
3000,0.9593940238963246,0.9123696754034138
