param_SVM__max_iter,train acc,test acc
1,0.5030833462192669,0.49571965994253375
2,0.5958543374052883,0.5953449450516898
4,0.5290876758929951,0.5248378210255042
8,0.520269058295964,0.5225125151811367
16,0.5193752899335085,0.5132186972362924
32,0.4863692593165299,0.47240735803785644
64,0.549709293335395,0.5216757012944695
128,0.6252048863460645,0.6119331141325275
256,0.8708473790010823,0.8563123907698688
512,0.9411489098500077,0.9363429011522852
1024,0.939028916035256,0.9371723096063271
2048,0.939028916035256,0.9371723096063271
