mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.061055326461791994,0.0038500806030994207,0.05425815582275391,0.0032541246474541794,1,{'SVM__max_iter': 1},0.13080525056203846,0.1603370638584981,0.13583310756324152,0.14113417493093325,0.064292423004769,0.1265381352456849,0.03262479913030766,12,0.13661731359280518,0.15737699400294816,0.13667388532012248,0.1447143002131988,0.06867012332019788,0.12881052328985448,0.031011673657489417
0.0787895679473877,0.001260447920418326,0.12108383178710938,0.0017392438667811617,2,{'SVM__max_iter': 2},0.12508549338694455,0.13540822383883,0.151361065033167,0.14284547584642596,0.08941720442317243,0.1288485647518317,0.021488326232683055,11,0.1395990975475336,0.1401108615307331,0.14803223524277684,0.1315789720163461,0.09601789139997287,0.1310678115474725,0.018281736528565504
0.12486777305603028,0.002107102497728484,0.24773945808410644,0.005330709525667365,4,{'SVM__max_iter': 4},0.17233011107199397,0.1620408806112677,0.1968561982171955,0.17675923447848352,0.12549691987939351,0.166726551182574,0.023474690734367733,10,0.17976922840705875,0.15710967613662533,0.19975255613804502,0.17941710287701398,0.1273797214022203,0.16868565699219268,0.02467121949299327
0.21562566757202148,0.004701097976052982,0.43523316383361815,0.015787288761674154,8,{'SVM__max_iter': 8},0.22017785525314026,0.20414800374317293,0.2379544972367905,0.18515141901391982,0.20112569688963647,0.20973071811311317,0.017968257491471636,9,0.21845564156811373,0.20311789684823217,0.23552145333499047,0.18708452429193,0.2025396812321875,0.20934383945509077,0.016424545340380813
0.38796634674072267,0.0018925205188079894,0.6371257305145264,0.011130728799152494,16,{'SVM__max_iter': 16},0.47396636480840765,0.4243319813462947,0.461815732581648,0.4483089395350513,0.4731591824785426,0.4563064505883358,0.01851696629538876,8,0.47752883807836766,0.42885429998482805,0.47105614689412645,0.4546189459681244,0.4891616659141113,0.46424397936791156,0.02092297720192385
0.6991379261016846,0.007391600091791763,0.8028596401214599,0.01047108615430122,32,{'SVM__max_iter': 32},0.7717573866077239,0.7303799694060039,0.762350710279434,0.7589432932821388,0.7514744169887149,0.7549848554127309,0.013935550975394447,7,0.7874487424788321,0.7565465280181521,0.7921347627780119,0.7792378155428378,0.777865095260411,0.778646588815649,0.01223749741100794
1.1631113529205321,0.03773167489398926,0.9502416133880616,0.011433120128652855,64,{'SVM__max_iter': 64},0.9390646752770597,0.9361033889331373,0.9365874340535896,0.941771233921956,0.9373856666332832,0.9381817827383324,0.002056569919917353,6,0.962685184366115,0.9649125239442444,0.9624579130272634,0.9668999441991134,0.9654790336734865,0.9644869198420446,0.0016941803111715599
1.6428164958953857,0.013273361845370183,1.0472074508666993,0.028315666269436136,128,{'SVM__max_iter': 128},0.9601425989192371,0.9592947405023196,0.964548612208175,0.9666401581299985,0.9610918126695628,0.9623405241413863,0.0027938763775992373,5,0.984514406976305,0.9846744251914527,0.9826213671239181,0.985894200518421,0.9832620415301264,0.9841932882680446,0.0011459379579695525
1.8728205680847168,0.016450166512840435,1.098856258392334,0.018433212896446748,256,{'SVM__max_iter': 256},0.9613726181347602,0.9586838462345927,0.9651779872578484,0.9675019221562198,0.9613633093718745,0.962817019915662,0.0031241688435013552,4,0.9847478188340011,0.9857001013902217,0.9837914635565622,0.9857121633953314,0.9840611420340715,0.9848025378420375,0.0008009958919861797
1.8763982772827148,0.010212753031979903,1.0930914878845215,0.00596368904437741,512,{'SVM__max_iter': 512},0.9619939758012616,0.9583761539269003,0.9645367835046692,0.9681579987155361,0.9613633093718745,0.9628828343235069,0.0032851410806856297,1,0.9845838037446129,0.9856187873554193,0.9837979701712106,0.9857934774301338,0.9840682543265347,0.9847724586055822,0.0008049687975082929
1.8853734016418457,0.030680817303676437,1.0817028999328613,0.018454097363643153,1024,{'SVM__max_iter': 1024},0.9619939758012616,0.9583761539269003,0.9645367835046692,0.9681579987155361,0.9613633093718745,0.9628828343235069,0.0032851410806856297,1,0.9845838037446129,0.9856187873554193,0.9837979701712106,0.9857934774301338,0.9840682543265347,0.9847724586055822,0.0008049687975082929
1.8704340934753418,0.019922673894970242,1.1012423992156983,0.004827301342265412,2048,{'SVM__max_iter': 2048},0.9619939758012616,0.9583761539269003,0.9645367835046692,0.9681579987155361,0.9613633093718745,0.9628828343235069,0.0032851410806856297,1,0.9845838037446129,0.9856187873554193,0.9837979701712106,0.9857934774301338,0.9840682543265347,0.9847724586055822,0.0008049687975082929
