param_MLP__max_iter,train acc,test acc
1,0.9180098963970929,0.9267676767676767
2,0.9330601515385805,0.9315145590805414
4,0.9480114427091386,0.9382016647412541
8,0.9517040358744394,0.9224354986818329
16,0.9760831915880624,0.9250422109659645
32,0.9775305396629038,0.944459255309695
64,0.9775305396629038,0.944459255309695
128,0.9775305396629038,0.944459255309695
256,0.9775305396629038,0.944459255309695
512,0.9775305396629038,0.944459255309695
1024,0.9775305396629038,0.944459255309695
2048,0.9775305396629038,0.944459255309695
2100,0.9775305396629038,0.944459255309695
2200,0.9775305396629038,0.944459255309695
2300,0.9775305396629038,0.944459255309695
2400,0.9775305396629038,0.944459255309695
2500,0.9775305396629038,0.944459255309695
2600,0.9775305396629038,0.944459255309695
2700,0.9775305396629038,0.944459255309695
2800,0.9775305396629038,0.944459255309695
2900,0.9775305396629038,0.944459255309695
3000,0.9775305396629038,0.944459255309695
