,0,1,2,3,4
259,0.9713281539030705,0.9730676328502414,0.9730676328502414,0.9730676328502414,0.9730676328502414
272,0.9728669226916011,0.9743820592568341,0.9743820592568341,0.9743820592568341,0.9743820592568341
285,0.9742424242424241,0.9755423964968151,0.9755423964968151,0.9755423964968151,0.9755423964968151
298,0.9792825361512792,0.9765881708652794,0.9765881708652794,0.9765881708652794,0.9765881708652794
311,0.9726807177924496,0.9775807261167808,0.9775807261167808,0.9775807261167808,0.9775807261167808
324,0.9711313697989716,0.9784722222222223,0.9784722222222223,0.9784722222222223,0.9784722222222223
337,0.972208204166967,0.9793048128342247,0.9793048128342247,0.9793048128342247,0.9793048128342247
350,0.9672765657987332,0.9800753370341001,0.9800753370341001,0.9800753370341001,0.9800753370341001
363,0.9684148166625094,0.9813650306748465,0.9813650306748465,0.9813650306748465,0.9813650306748465
376,0.9728009259259259,0.9844322344322344,0.9844322344322344,0.9844322344322344,0.9844322344322344
389,0.9774967679379444,0.9797554056947121,0.9797554056947121,0.9797554056947121,0.9797554056947121
402,0.9753286147623862,0.9804004899877503,0.9804004899877503,0.9804004899877503,0.9804004899877503
415,0.9732142857142856,0.9766027743931016,0.9766027743931016,0.9766027743931016,0.9766027743931016
428,0.9767921146953406,0.9773107762798484,0.9773107762798484,0.9773107762798484,0.9773107762798484
441,0.9853678049602089,0.9779299059613072,0.9779299059613072,0.9779299059613072,0.9779299059613072
454,0.9857665394402035,0.9785372522214628,0.9785372522214628,0.9785372522214628,0.9785372522214628
467,0.986144012032337,0.9791343669250646,0.9791343669250646,0.9791343669250646,0.9791343669250646
480,0.9840746207607903,0.9835459161417528,0.9835459161417528,0.9835459161417528,0.9835459161417528
493,0.9820681511470986,0.9877529727402208,0.9877529727402208,0.9877529727402208,0.9877529727402208
506,0.9827149075949165,0.9898992280966531,0.9898992280966531,0.9898992280966531,0.9898992280966531
519,0.9876815980629537,0.9901524208009563,0.9901524208009563,0.9901524208009563,0.9901524208009563
766,0.9900488248924195,0.9900568181818182,0.9900568181818182,0.9900568181818182,0.9900568181818182
1012,0.9935547647291418,0.9956521739130435,0.9956521739130435,0.9956521739130435,0.9956521739130435
1258,0.9947555813398296,0.9966896670867038,0.9966863604599454,0.9966863604599454,0.9966863604599454
1504,0.9971797477669283,0.9964411953297051,0.99725977833469,0.99725977833469,0.99725977833469
1750,0.9987546699875467,0.9969813568705527,0.9975520195838432,0.9975520195838432,0.9975520195838432
1997,0.9994535519125683,0.9978985485288325,0.9978700745473909,0.9978700745473909,0.9978700745473909
2243,0.9995196926032661,0.9976627970353605,0.9995229007633586,0.9995229007633586,0.9995229007633586
2489,1.0,0.9983230933262685,0.999566348655681,0.999566348655681,0.999566348655681
2735,1.0,0.9996096799375488,0.9996096799375488,0.9996053670086819,0.9996053670086819
2982,1.0,1.0,1.0,0.9996415770609319,0.9996415770609319
3228,1.0,1.0,1.0,1.0,1.0
3474,1.0,1.0,1.0,1.0,1.0
3720,1.0,1.0,1.0,1.0,1.0
3966,1.0,1.0,1.0,1.0,1.0
4213,1.0,1.0,1.0,1.0,1.0
4459,1.0,1.0,1.0,1.0,1.0
4705,1.0,1.0,1.0,1.0,1.0
4951,1.0,1.0,1.0,1.0,1.0
5198,1.0,1.0,1.0,1.0,1.0
