,0,1,2,3,4
147,0.5,0.5,0.5,0.5,0.5
154,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
161,0.5,0.5,0.5,0.5,0.5
169,0.5,0.5,0.5,0.5,0.5
176,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.49999999999999983
184,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
191,0.5000000000000001,0.5,0.5,0.5,0.5
198,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
206,0.5000000000000001,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002
213,0.5000000000000001,0.5,0.5,0.5,0.5
220,0.4999999999999999,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
228,0.4999999999999998,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
235,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
242,0.4999999999999999,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
250,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
257,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
264,0.5,0.5,0.5,0.5,0.5
272,0.5,0.5,0.5,0.5,0.5
279,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
287,0.5,0.5,0.5,0.5,0.5
294,0.5,0.5,0.5,0.5,0.5
433,0.5,0.5,0.5,0.5,0.5
573,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
712,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
852,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
991,0.4999999999999999,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
1131,0.5,0.5,0.5,0.5,0.5
1270,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999
1410,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001
1549,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001
1688,0.5000000000000002,0.5000000000000001,0.5000000000000002,0.5,0.5
1828,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.5,0.5
1967,0.4999999999999999,0.4999999999999999,0.49999999999999983,0.5000000000000001,0.5000000000000001
2107,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001
2246,0.5000000000000001,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.4999999999999999
2386,0.5,0.5,0.5,0.5,0.4999999999999999
2525,0.5,0.5,0.4999999999999999,0.4999999999999999,0.5000000000000001
2665,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5
2804,0.49999999999999994,0.49999999999999994,0.49999999999999983,0.49999999999999983,0.5
2944,0.5,0.49999999999999994,0.5,0.5,0.5
