mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17703356742858886,0.0031937539386986606,0.004387807846069336,0.0010171864664412866,relu,10.0,"(16,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 1e-06}",0.04528024930938471,0.04668729736202184,0.048541348518502885,0.0498190848685394,0.044773493795201465,0.047019696153769906,0.001913841494902425,2892,0.047521269254526564,0.04733566801161765,0.04648364101085392,0.04632640012303219,0.04765613585113237,0.04706462285023254,0.0005503438454169073
1.2277094364166259,0.24349427004987537,0.004387617111206055,0.0013521916891733581,relu,10.0,"(16,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.001}",0.6233965138549111,0.5998733968833715,0.6127041470814184,0.6087970733711743,0.6113754946968867,0.6112355522930185,0.007561177573913706,2469,0.6245915638960449,0.6126807552860312,0.6201725598375745,0.6139397485751574,0.595018900638908,0.6132807056467431,0.010096741738644978
0.9218774795532226,0.20252524546439774,0.004188919067382812,0.0019334279838448879,relu,10.0,"(16,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.002}",0.6174799638404821,0.6231375083144369,0.6194571707520253,0.605246544588714,0.637595341189099,0.6205738101301043,0.010398475870239694,2445,0.6225524801379994,0.6335464261567676,0.6279507069848848,0.6128846374907579,0.6262126464159701,0.6246293794372759,0.006860089610078868
0.664600419998169,0.1331996792605121,0.006007003784179688,0.002082611355142126,relu,10.0,"(16,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.004}",0.6317339651945387,0.6173785112001742,0.6071181419469256,0.6339414058019864,0.6156474646974943,0.6211707867390336,0.010169625234745162,2441,0.6336407831614839,0.6261413915567297,0.6155543269587109,0.6367568761005818,0.6106236978037956,0.6245434151162603,0.010090059457042062
0.44843335151672364,0.0801308802071818,0.003987503051757812,0.000890633099740956,relu,10.0,"(16,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.008}",0.5986205330761403,0.6127173227432765,0.6145935012070374,0.605926390850166,0.6065877565427857,0.6076852476324978,0.005654223375686377,2479,0.6061620407182889,0.623581058628233,0.6317379034027306,0.6056720319281186,0.5979741972797047,0.6130254463914151,0.012564204221677337
0.3372518539428711,0.09920232939258755,0.0041865348815917965,0.0007465806600885231,relu,10.0,"(16,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.016}",0.585657584903468,0.5791275913909619,0.6166736174233133,0.5804140325886036,0.603934233340551,0.5931473024301774,0.014727236641064524,2530,0.587872406772311,0.5922091457720705,0.6195058571324471,0.5749497739100239,0.5955685925601693,0.5940211552294044,0.014537349584232228
0.33150105476379393,0.09784978402925032,0.004590177536010742,0.0013523062176639612,relu,10.0,"(16,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.032}",0.5586476735451378,0.5537705520685113,0.5978372939761936,0.5590620386213765,0.563997587294525,0.566657363076289,0.015922059376635822,2590,0.5586918613392554,0.5725022950031109,0.6017001295408835,0.5581205480569635,0.5608168663086598,0.5703663400497747,0.016515532028134057
0.269411039352417,0.08310644651790411,0.004986906051635742,0.0012616529617111155,relu,10.0,"(16,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.064}",0.5678631244893805,0.5498200339306003,0.5065144076242811,0.5685183484511164,0.5622874167867407,0.5509990048139131,0.023234176441561328,2603,0.5680765525075625,0.5487764833923948,0.5219614948380679,0.5657555534203202,0.5534781470834877,0.5516096462483666,0.016503312883503
0.32870306968688967,0.08492618719224225,0.004784345626831055,0.0007488520421123743,relu,10.0,"(16,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16,), 'MLP__learning_rate_init': 0.128}",0.4997120123909494,0.5109845486761846,0.5521973280694147,0.518256341377427,0.48328636890794874,0.5128973666817781,0.022912241084616272,2627,0.5013941240480316,0.5235109736246571,0.556206595797086,0.5113942576737945,0.47248090131364795,0.5129973704914434,0.027409350870549312
0.16396803855895997,0.0023197067281589814,0.0037901878356933595,0.0013232470364169457,relu,10.0,"(8,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 1e-06}",0.048279693402276815,0.04551191161808401,0.05069130357738447,0.04445352358251451,0.04807739549328871,0.04740324800440256,0.0022047738572061517,2871,0.047103814802796934,0.047878784040285456,0.04658456762425826,0.04806076478991977,0.04716347318878334,0.04735828088920875,0.0005414318806051378
