mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.013186216354370117,0.0011608687629851512,0.000997161865234375,1.1641078582509711e-06,1,{'Boost__n_estimators': 1},1.0,0.9984051036682614,1.0,0.9977711738484398,1.0,0.99923548078133,0.0009577312824033687,12,1.0,0.9990023942537909,1.0,0.9990716672855552,1.0,0.9996148123078692,0.0004722649812833269
0.016755104064941406,0.004778542578833404,0.0009974002838134765,6.14361702286011e-07,2,{'Boost__n_estimators': 2},1.0,0.9984051036682614,1.0,0.9977711738484398,1.0,0.99923548078133,0.0009577312824033687,12,1.0,0.9990023942537909,1.0,0.9990716672855552,1.0,0.9996148123078692,0.0004722649812833269
0.026142072677612305,0.020794037317260747,0.001001596450805664,1.0519637248414084e-05,5,{'Boost__n_estimators': 5},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.022146892547607423,0.0129338972198508,0.000995969772338867,0.0006308349006251353,10,{'Boost__n_estimators': 10},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.02096414566040039,0.012740117066514171,0.0010036468505859376,1.0277583113938213e-05,20,{'Boost__n_estimators': 20},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.023137617111206054,0.012396939001920024,0.0010023117065429688,1.0270279842249449e-05,30,{'Boost__n_estimators': 30},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.02234501838684082,0.011959151878640505,0.000991678237915039,1.1853600148347324e-05,40,{'Boost__n_estimators': 40},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.02213568687438965,0.013419966297635345,0.0012022495269775391,0.00039510252160404076,50,{'Boost__n_estimators': 50},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.021347522735595703,0.012399749515593896,0.0007978439331054688,0.0003989222515377857,60,{'Boost__n_estimators': 60},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.02155299186706543,0.01244053324910491,0.0011962413787841796,0.0003989489252373013,70,{'Boost__n_estimators': 70},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.02115001678466797,0.012018919754523944,0.0011948585510253907,0.0003998803887425411,80,{'Boost__n_estimators': 80},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.020954370498657227,0.012675445672189964,0.0007977962493896484,0.00039889958889087,90,{'Boost__n_estimators': 90},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
0.020949125289916992,0.012663004442337297,0.0007987022399902344,0.00039935193132915924,100,{'Boost__n_estimators': 100},1.0,1.0,1.0,0.9977711738484398,1.0,0.9995545091289619,0.0008913246251914965,1,1.0,1.0,1.0,0.9990716672855552,1.0,0.9998143334571111,0.00037133308577792513
