param_SVM__max_iter,train acc,test acc
1,0.5018988458763113,0.5021510320423289
2,0.6105163363876707,0.5936777389925114
4,0.6871087086114367,0.6755110526343594
8,0.7053331486111374,0.6941455867262271
16,0.7053331486111374,0.6941455867262271
32,0.7053331486111374,0.6941455867262271
64,0.7053331486111374,0.6941455867262271
128,0.7053331486111374,0.6941455867262271
256,0.7053331486111374,0.6941455867262271
512,0.7053331486111374,0.6941455867262271
1024,0.7053331486111374,0.6941455867262271
2048,0.7053331486111374,0.6941455867262271
