mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.00438985824584961,0.00048785812048706626,0.0009982585906982422,1.1777009043911427e-06,1,{'SVM__max_iter': 1},0.9451606491275396,0.9250055098573123,0.9080955800280114,0.9421039264368689,0.9441096326115955,0.932893804365257,0.014411018275982684,11,0.950039963522909,0.9186064103411374,0.9186978359253055,0.9494406378812181,0.940905975707677,0.9355381646756495,0.014161040241291712
0.004987287521362305,4.862803948967729e-07,0.0009978294372558593,4.862803948967729e-07,2,{'SVM__max_iter': 2},0.9523743605033624,0.9359031781804911,0.9196413971576245,0.9397077603026837,0.9364392900037504,0.9368152037701927,0.010455914596641495,9,0.9538047764117972,0.9243811880821343,0.9262906788282946,0.9366973365775236,0.9377987457621445,0.935794545132379,0.01048607149678269
0.005784082412719727,0.00039865977384421705,0.000798797607421875,0.00039939894603336864,4,{'SVM__max_iter': 4},0.9412846251047097,0.9472108272843396,0.9236630005379517,0.9038435976434732,0.9261116834164891,0.9284288634446987,0.015168295051074381,12,0.9474737598559889,0.9509342450010062,0.9340997869502352,0.9058035939769685,0.925165644624313,0.9326954060817023,0.01632724187918877
0.007779216766357422,0.00039892233703326145,0.0007984638214111328,0.0003992322915771071,8,{'SVM__max_iter': 8},0.9141323432671239,0.9334764711319024,0.9469181531432254,0.9472309386704899,0.9430343842126001,0.9369524303082517,0.012451524533897767,8,0.9193349038088675,0.9213578462562484,0.9411937899357176,0.9447163241845965,0.949779607074199,0.9352764942519258,0.012508622040692832
0.009781265258789062,0.000403244232569295,0.0011965274810791016,0.0004003777786754864,16,{'SVM__max_iter': 16},0.928543201813544,0.9501825954864195,0.9261359192930319,0.9418250264658271,0.936066632170103,0.9365487058533282,0.008792682122916928,10,0.9421781483725834,0.9535474312078047,0.9250351699552712,0.9454446228614097,0.9428039661987654,0.9418018677191669,0.0093112391129294
0.015358209609985352,0.0013522266727349567,0.0007987022399902344,0.0003993513050363596,32,{'SVM__max_iter': 32},0.9439739421388649,0.9504551260631654,0.9468636470278763,0.9464322166257614,0.9428468684873891,0.9461144845827049,0.002636785358895061,6,0.9476311829321367,0.9430448246155014,0.945101085282437,0.9530515447945159,0.94425574970106,0.9466168774651301,0.003551503091373607
0.024733257293701173,0.000745958179722907,0.0011974334716796874,0.000399303692520821,64,{'SVM__max_iter': 64},0.9367590476055259,0.9476812387581136,0.940702086162319,0.9477507607441764,0.9426795285047639,0.9431129079959572,0.004213757670950726,7,0.9442074533749018,0.9496373945753365,0.9350667940203816,0.9473773471413351,0.9437879914701517,0.9440153961164214,0.004961363919385265
0.04208688735961914,0.0031789208931061624,0.0009984493255615235,5.309833872633002e-07,128,{'SVM__max_iter': 128},0.9400789875957767,0.9483151685779355,0.9513414428953648,0.9470078186936564,0.9460417566663027,0.946556048033541,0.0037002123144174483,1,0.9479214224642433,0.9470990380606041,0.9436323488314269,0.9477283139330187,0.9491040385842773,0.9470970323747141,0.0018498781272665353
0.06921453475952148,0.0034892893989318663,0.0009978294372558593,2.78041453115716e-07,256,{'SVM__max_iter': 256},0.9392815394299073,0.9491126167438048,0.9496375343329279,0.9478065407383848,0.9467289187226146,0.9465120850958456,0.0037572428899408554,2,0.950501411767775,0.9476421830829183,0.9441616392473882,0.9479690805588393,0.9497916046729016,0.9480131838659644,0.0022058123804847866
0.1180844783782959,0.003128210525292374,0.0007982254028320312,0.00039911301474974807,512,{'SVM__max_iter': 512},0.9392815394299073,0.9491126167438048,0.9503804763834481,0.9478065407383848,0.945930196677886,0.9465010502796545,0.0039005634827422864,3,0.9497033271708079,0.9482268919242908,0.9441616392473882,0.9477558639744846,0.9493927215456579,0.9478480887725258,0.001978368381310329
0.14720606803894043,0.010065013330421304,0.0007987022399902344,0.00039935127656848176,1024,{'SVM__max_iter': 1024},0.9392815394299073,0.9491126167438048,0.9503804763834481,0.9478065407383848,0.945930196677886,0.9465010502796545,0.0039005634827422864,3,0.9497033271708079,0.9482268919242908,0.9441616392473882,0.9477558639744846,0.9493927215456579,0.9478480887725258,0.001978368381310329
0.14561066627502442,0.011750277550516558,0.0009981155395507812,2.431401974483864e-07,2048,{'SVM__max_iter': 2048},0.9392815394299073,0.9491126167438048,0.9503804763834481,0.9478065407383848,0.945930196677886,0.9465010502796545,0.0039005634827422864,3,0.9497033271708079,0.9482268919242908,0.9441616392473882,0.9477558639744846,0.9493927215456579,0.9478480887725258,0.001978368381310329
