param_SVM__max_iter,train acc,test acc
1,0.138535440643805,0.13631447130199434
2,0.1276539271407398,0.12795545470415076
4,0.20267574663615212,0.2004418117116788
8,0.197631945034263,0.19751409211681556
16,0.39822418867393095,0.3987454505845759
32,0.7492374416703914,0.7253556945527907
64,0.9538167602946985,0.9229036119494292
128,0.9848999877979108,0.9619450901139508
256,0.9856532611958128,0.9624692634489824
512,0.986099340318106,0.9616675701384793
1024,0.986099340318106,0.9616675701384793
2048,0.986099340318106,0.9616675701384793
