mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004187965393066406,0.0003998832601835288,0.0011869907379150391,0.0004116261132983931,1,{'SVM__max_iter': 1},0.6060700713207351,0.5926402525292023,0.608044154693095,0.6361340428865079,0.49178847276749477,0.5869454131423008,0.049620669404717155,10,0.6058760609010885,0.6128916297136409,0.6062353433823436,0.5966875370573979,0.4493756879178701,0.5742132517944681,0.06263142278659516
0.003989410400390625,9.536743164062499e-08,0.0017951488494873046,0.00039892199505124864,2,{'SVM__max_iter': 2},0.32917098519160054,0.3402248021783487,0.3100367086837721,0.3094947044609754,0.41053719694847823,0.33988503704968603,0.03719605194991795,12,0.3280787328835757,0.32531519599896747,0.31963977134416943,0.3329683199703289,0.3979252448880232,0.34078545301701296,0.0288928808750358
0.004586982727050781,0.0004890456958396433,0.001596832275390625,0.0004891249652083611,4,{'SVM__max_iter': 4},0.4085087955929748,0.3686746245595076,0.4091323811351965,0.345138120760127,0.5347070244814834,0.4132232488288087,0.06543061290431375,11,0.4080887889866698,0.35641293424559367,0.4214261561335601,0.360529618442294,0.5280851936153222,0.414908538284688,0.06209145875217454
0.006382465362548828,0.0004887139137589383,0.0017955780029296875,0.00039889816388262293,8,{'SVM__max_iter': 8},0.7027920151065551,0.6870792068649266,0.7319401096283867,0.6904685044790149,0.5773158192063574,0.677936507087588,0.052714423045779064,9,0.7067206609041717,0.6870287396397919,0.7137034503748746,0.6855860404828604,0.5776551241373764,0.674138803107815,0.049463580108638605
0.009169387817382812,0.0004017570076579217,0.002792692184448242,0.0003990412435060334,16,{'SVM__max_iter': 16},0.8391177904296755,0.9743927900258548,0.9765126039467165,0.9014094536408909,0.8119122331461343,0.9006730464147862,0.06760870189920477,8,0.8422325794023022,0.9766282422371975,0.9708421289091849,0.9020064280467717,0.8355457300324038,0.905451021725572,0.060394337649416846
0.015558099746704102,0.00079797507534481,0.003989410400390625,0.0006313542293104449,32,{'SVM__max_iter': 32},0.9632049844059841,0.9693012079029127,0.926789992677222,0.9841193169680368,0.9738854682433812,0.9634553718196633,0.01956657592794961,7,0.9607060439788488,0.9657543025591162,0.933653401905979,0.9869410581674691,0.9733874005365741,0.9640884414295975,0.017602386593091098
0.027725601196289064,0.0011628511407290008,0.006582450866699219,0.0004887724013674795,64,{'SVM__max_iter': 64},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04647526741027832,0.0036010343566603696,0.009574270248413086,0.0004889865108865342,128,{'SVM__max_iter': 128},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0646247386932373,0.004980015152423866,0.011565828323364257,0.0011982335016885298,256,{'SVM__max_iter': 256},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07839078903198242,0.0016206928626737336,0.013563013076782227,0.0004890837770513269,512,{'SVM__max_iter': 512},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09335117340087891,0.001352838384831624,0.01456003189086914,0.0004887530489406031,1024,{'SVM__max_iter': 1024},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09534106254577637,0.0014930901154180409,0.013164281845092773,0.00039923194986060136,2048,{'SVM__max_iter': 2048},1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
