mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009171152114868164,0.0029097138779389797,0.000797891616821289,0.0003989461610585394,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7749324706027563,0.7336810892094544,0.022412476806223967,854,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7882414941839049,0.7333692888436921,0.027523845799006415
0.012367010116577148,0.0004886166437687896,0.0009972095489501954,2.4314019744838644e-07,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.7161084529505582,0.7129186602870812,0.7837943839742543,0.7380191693290735,0.7749324706027563,0.7451466741190735,0.029373778917982568,849,0.7214684756584198,0.722266560255387,0.7860298299306321,0.7159952134024731,0.7882414941839049,0.7468003146861634,0.033011778699656893
0.0283231258392334,0.0010150364881257353,0.001396322250366211,0.0004884997731965918,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.05505218505859375,0.005904283897252432,0.0013932228088378907,0.00048501684632128183,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.11030516624450684,0.006633398413068532,0.002592945098876953,0.0004889280814438334,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.15358881950378417,0.0008919119343366109,0.004388141632080078,0.0007978439901024973,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.23397483825683593,0.004787298050651981,0.005385589599609375,0.0004888502917892535,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.3133732318878174,0.005011349079771236,0.006981277465820312,2.431401974483864e-07,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.4282583713531494,0.020394107339041272,0.00897665023803711,0.0006312046108977878,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.47255425453186034,0.002623089751496829,0.009573078155517578,0.0004877293763008929,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
0.5188202381134033,0.005548142760841663,0.010770130157470702,0.00039830791522087297,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.7161084529505582,0.7129186602870812,0.726475279106858,0.7380191693290735,0.7084664536741215,0.720396067515302,0.010619736274912858,862,0.7214684756584198,0.722266560255387,0.7188747007182761,0.7159952134024731,0.7233745512564819,0.7203959002582077,0.0026533843078691208
