mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.022340869903564452,0.004306054716130411,0.0017943382263183594,0.00040161650341440195,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.06783767413688674,0.06959706959706961,0.07051282051282053,0.06868131868131867,0.06868131868131869,0.06906169376063569,0.0009149085346141742,199,0.06936813186813187,0.06892612338156892,0.06869763899466869,0.06915460776846916,0.06915460776846916,0.06906022195626156,0.0002289430971626858
0.025144624710083007,0.001321940095593576,0.0015916824340820312,0.0004903792732191253,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.12558426978295886,0.12153401574351946,0.12758485580223028,0.12794282841012689,0.12504885554277106,0.12553736386304315,0.002291778079402629,195,0.12551460939567236,0.1268522233170718,0.12533488239336765,0.12587833061428993,0.1259668918048377,0.1259093875050479,0.0005251888274480895
0.030318212509155274,0.0018525090726923903,0.001588582992553711,0.0004936729204614029,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.1774027309125848,0.17396225847982652,0.17792301382650139,0.1878016532148302,0.17760824653799095,0.17893510164677304,0.004656091450376919,191,0.17775537341978798,0.17861979026959066,0.1743118556725558,0.1853979836832612,0.1768392313739951,0.17858484688383816,0.003699018997391735
0.03730087280273438,0.001352113188517768,0.0017919063568115235,0.000397662818674747,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.25703134312568454,0.24279771262288116,0.25271260280672747,0.2329907700551348,0.25066614240402196,0.24724755277298366,0.008489540595166234,187,0.2519909375071439,0.25412611241244865,0.2516156763783891,0.23427606432400144,0.25294983174936064,0.24899172447426876,0.00740890827005886
0.047479104995727536,0.0010035445705097075,0.0017967700958251953,0.00040041806332155973,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.36639333502152904,0.3649735460245936,0.36920357795009223,0.30697822869431673,0.3631880145830263,0.35416786798170613,0.023653670913054165,186,0.3637569914878906,0.37188579658515825,0.37023430994478546,0.3040937558458203,0.3711613154349837,0.3562264338597277,0.026225988393731442
0.06262531280517578,0.0011682663410507899,0.0017966747283935547,0.0003998633245658893,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.4903304318635214,0.473281013943593,0.4810626407527633,0.38540703489756545,0.4783501894684641,0.4617227079854297,0.03852200733824856,181,0.4834379951068092,0.4819211645188398,0.480841870646079,0.38433953351511185,0.4860443771325488,0.4633169881838778,0.03952736863589614
0.08976941108703614,0.005001924346996566,0.001785421371459961,0.00039689401581199533,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.5756618027478629,0.5618137930306957,0.5611313126121233,0.4831323171482758,0.5624554490410226,0.5488734276424895,0.03327821731560323,177,0.5711640172328238,0.5749618405839435,0.5729307833579912,0.48083226140439606,0.5684819234455065,0.5536741652049323,0.03648311950228568
0.12167925834655761,0.0025247749779513298,0.001592731475830078,0.0004878245160313019,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.6311591338243192,0.6130308425280779,0.6090590109415444,0.5539787978445413,0.6228746425875598,0.6060451526775997,0.027128862125164317,174,0.6238350797293657,0.6324762431387646,0.629811762512002,0.5624962841574561,0.6284045682370702,0.6154047875549317,0.02660214043589403
0.17214088439941405,0.00622893244038899,0.0023876190185546874,0.0008008545528620207,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.6647282975054875,0.6505230725293418,0.6440863183053684,0.6004835159938345,0.6485807196640994,0.6417081328444246,0.021722175268127742,172,0.6672626645180796,0.6802919188320422,0.6724211842697908,0.6186574873824776,0.6586206086341606,0.6594507727273102,0.021579582486866044
0.24874515533447267,0.018427249902983955,0.001991415023803711,2.5258870388315255e-06,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.7008034466475703,0.6862157314237932,0.6955239473952648,0.647653040253025,0.7009020359976121,0.6862316172424314,0.019999386807576597,167,0.7125663082525877,0.7246021825619965,0.7230722794956389,0.6613152692200391,0.7103441490336103,0.7063800377127746,0.023218505463113704
0.30839200019836427,0.006610664985914805,0.0019866466522216798,7.251374778826554e-06,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.7364552649442114,0.710283026040093,0.7184948876190256,0.6880137989209671,0.7398778456551635,0.7186293568338337,0.018838236493604544,163,0.7500436429637062,0.7564848152935097,0.7567527012841924,0.7017614649116433,0.7457179424554349,0.7421521133816974,0.020615525077715916
