param_Boost__n_estimators,train acc,test acc
1,0.8935151479616704,0.8350387207091733
2,0.8935151479616704,0.8350387207091733
5,0.9886630579513078,0.9054135383279136
10,0.9932714189150843,0.9334674805337124
20,0.9941444384663032,0.9429903882066044
30,0.9941444384663032,0.9429903882066044
40,0.9941444384663032,0.9429903882066044
50,0.9941444384663032,0.9429903882066044
60,0.9941444384663032,0.9429903882066044
70,0.9941444384663032,0.9429903882066044
80,0.9941444384663032,0.9429903882066044
90,0.9941444384663032,0.9429903882066044
100,0.9941444384663032,0.9429903882066044
