mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04083518981933594,0.003994985716457424,0.09641017913818359,0.0015284437483418772,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03771300315856933,0.00039020728220726054,0.11429481506347657,0.0036014912547416124,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03840031623840332,0.002249369763152299,0.12267284393310547,0.002442479472342077,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03729448318481445,0.0008002715365519974,0.13045363426208495,0.00863829388560938,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",1.0,0.9984051036682614,1.0,1.0,0.9984025559105432,0.9993616794732321,0.0007819305920835232,8,1.0,0.9996009577015165,1.0,1.0,0.9990027921818908,0.9997207499766814,0.0003908338037734391
0.03708915710449219,0.0004050181504734123,0.13623933792114257,0.0019594419016309085,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",1.0,0.9984051036682614,1.0,0.9992012779552715,0.9984025559105432,0.999202033383664,0.0007138842175279183,10,0.9992019154030328,0.9990023942537909,0.9992019154030328,0.9994016753091345,0.9990027921818908,0.9991621385101764,0.00014929953801131956
0.0374943733215332,0.002257099576198115,0.14082493782043456,0.0017166043294541086,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.9992025518341309,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9988828823328215,0.0003910702425772222,11,0.9990023942537909,0.9990023942537909,0.9990023942537909,0.9990027921818908,0.9990027921818908,0.9990025534250309,1.9494415982167654e-07
0.036501598358154294,0.0004882861254493377,0.14381661415100097,0.0017158559782261369,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.9992025518341309,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9988828823328215,0.0003910702425772222,11,0.9988028731045491,0.9990023942537909,0.9990023942537909,0.9990027921818908,0.9990027921818908,0.9989626491951824,7.988824352731456e-05
0.037878990173339844,0.0016571615889958097,0.15818495750427247,0.01526410164841585,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.9992025518341309,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9988828823328215,0.0003910702425772222,11,0.9988028731045491,0.9990023942537909,0.9988028731045493,0.998803350618269,0.9990027921818908,0.9988828566526099,9.776473259553374e-05
0.037094402313232425,0.0015928850464801097,0.1543881416320801,0.003699712373503194,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.9992025518341309,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9988828823328215,0.0003910702425772222,11,0.9988028731045491,0.9990023942537909,0.9988028731045493,0.998803350618269,0.9990027921818908,0.9988828566526099,9.776473259553374e-05
0.036488819122314456,0.0008078860381549209,0.15777912139892578,0.004107187764020528,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.9992025518341309,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9988828823328215,0.0003910702425772222,11,0.9988028731045491,0.9990023942537909,0.9988028731045493,0.998803350618269,0.9990027921818908,0.9988828566526099,9.776473259553374e-05
0.03869485855102539,0.004609723975417974,0.15937466621398927,0.001933905008840949,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.9984051036682615,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9987232454557948,0.00039075830787487073,16,0.9986033519553074,0.998816727710902,0.9990023942537909,0.998803350618269,0.9990027921818908,0.998845723344032,0.00014872557177062943
0.037080907821655275,0.0007429057826147487,0.16376338005065919,0.0052547861282002135,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.9968658157397811,0.9984051036682614,0.9992025518341308,0.9992012779552715,0.9984025559105432,0.9984151036501396,0.0008533025338154275,19,0.9980047885075819,0.9990023942537909,0.9988028731045493,0.998432017532491,0.9990027921818908,0.9986489731160608,0.00038362043048806494
