param_SVM__max_iter,train acc,test acc
1,0.9011071594247717,0.9105053467223555
2,0.9159548476882635,0.9224206878165822
4,0.927799597958868,0.9266862170087977
8,0.9285062625637853,0.9321292099884475
16,0.9285062625637853,0.9321292099884475
32,0.9285062625637853,0.9321292099884475
64,0.9285062625637853,0.9321292099884475
128,0.9285062625637853,0.9321292099884475
256,0.9285062625637853,0.9321292099884475
512,0.9285062625637853,0.9321292099884475
1024,0.9285062625637853,0.9321292099884475
2048,0.9285062625637853,0.9321292099884475
