,0,1,2,3,4
0.001,0.5,0.5,0.5,0.49999999999999994,0.49999999999999994
0.101,0.9138364001855573,0.9118710375753826,0.9086809958249573,0.9071859126814349,0.9304470463653408
0.201,0.9244920364929642,0.9239400030926239,0.9194572444719342,0.9141645153607413,0.9432500067188088
0.30100000000000005,0.9290783980207205,0.9290783980207205,0.9289577856811503,0.923866166272445,0.947696004641075
0.401,0.9332163290552032,0.936888820163909,0.9338023813205503,0.9333942093444881,0.9539854274444339
0.501,0.9373372506571825,0.9395438379464975,0.9359579403123548,0.9342906683314897,0.9554674267518559
0.6010000000000001,0.9400788619143342,0.9414751816916652,0.9382511210762331,0.9348762086519103,0.9577422454907526
0.7010000000000001,0.9421308179990721,0.9405783207051183,0.9400618524818307,0.9379438468222814,0.958103671064423
0.801,0.9434931189113963,0.9421818462965825,0.9407515076542445,0.9396667965121505,0.9587760153046739
0.901,0.9454414720890676,0.9419406216174423,0.9416823875057986,0.9403391407524015,0.9595688347361485
1.001,0.9447688263491572,0.9436477501159733,0.9422514303386423,0.9417175005042968,0.9604821293588465
1.101,0.9451136539353642,0.9458203185402814,0.942475645585279,0.9417175005042968,0.9620677682217954
1.201,0.9453378691820009,0.946389361373125,0.942820473171486,0.9420620904422707,0.9622918829685458
1.301,0.9456826967682077,0.9466135766197618,0.9437343435905365,0.9430790246204954,0.962756948097743
1.401,0.9470620071130355,0.9470620071130352,0.9436307406834697,0.9435272541139961,0.9642389474051651
1.501,0.9472862223596721,0.9472862223596721,0.9438549559301066,0.9439754836074967,0.9644630621519155
1.601,0.9485449203649295,0.9477346528529458,0.9438549559301066,0.944785138674668,0.9650317668366395
1.701,0.9485449203649295,0.9480794804391526,0.9457862996752744,0.9455779581061424,0.9661691762060879
1.801,0.9488897479511365,0.9485279109324262,0.9465795577547548,0.9462503023463934,0.9661691762060879
1.901,0.9501314365238904,0.9493211690119064,0.9464589454151846,0.9469226465866444,0.966737880890812
2.001,0.9509246946033707,0.9499938147518168,0.9478212463275089,0.9469226465866444,0.966737880890812
2.101,0.9513731250966445,0.9507870728312973,0.947597031080872,0.9469226465866444,0.9670824708287858
2.201,0.9527354260089685,0.9514597185712077,0.947597031080872,0.9471467613333948,0.9673065855755362
2.301,0.9527354260089685,0.9520287614040512,0.947597031080872,0.9471467613333948,0.9673065855755362
2.4010000000000002,0.9527354260089685,0.952252976650688,0.9479418586670788,0.9478359412093423,0.9673065855755362
