param_SVM__max_iter,train acc,test acc
1,0.9261653921160877,0.9350653585848935
2,0.946988425021132,0.9577406466996117
4,0.9421294676359359,0.9534048955991787
8,0.9487561634254337,0.9593310035401935
16,0.9487561634254337,0.9593310035401935
32,0.9487561634254337,0.9593310035401935
64,0.9487561634254337,0.9593310035401935
128,0.9487561634254337,0.9593310035401935
256,0.9487561634254337,0.9593310035401935
512,0.9487561634254337,0.9593310035401935
1024,0.9487561634254337,0.9593310035401935
2048,0.9487561634254337,0.9593310035401935
