param_Boost__n_estimators,train acc,test acc
1,0.9559069120148447,0.9248941023134571
2,0.9559069120148447,0.9248941023134571
5,0.9891541673109634,0.9468808317781925
10,0.9901716406370805,0.9468808317781924
20,0.9901716406370805,0.9468808317781924
30,0.9901716406370805,0.9468808317781924
40,0.9901716406370805,0.9468808317781924
50,0.9901716406370805,0.9468808317781924
60,0.9901716406370805,0.9468808317781924
70,0.9901716406370805,0.9468808317781924
80,0.9901716406370805,0.9468808317781924
90,0.9901716406370805,0.9468808317781924
100,0.9901716406370805,0.9468808317781924
