mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03858151435852051,0.04826940528491528,0.001397418975830078,0.0010191605397978497,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.7620225761558682,0.767117674346683,0.7669321169011907,0.756888820163909,0.7580949435596102,0.7622112262254522,0.004281761788246071,862,0.7887138549559303,0.7870515695067262,0.7882518942322562,0.7455949435596103,0.745293412710685,0.7709811349930417,0.020858116592780217
0.02393512725830078,0.002878921022623523,0.0009969711303710938,3.062913294363351e-06,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.7359362919437142,0.7404205968764496,0.7669321169011907,0.756888820163909,0.7580949435596102,0.7516545538889746,0.011623645236137053,875,0.7571458945415184,0.7579635070357197,0.7882518942322562,0.7455949435596103,0.745293412710685,0.7588499304159579,0.015669325510567746
0.05046510696411133,0.007137225656325412,0.0015935897827148438,0.0007984107467744582,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.7801298902118448,0.767117674346683,0.7669321169011907,0.756888820163909,0.7580949435596102,0.7658326890366475,0.008332291231114704,860,0.800181691665378,0.7870515695067262,0.7882518942322562,0.7455949435596103,0.745293412710685,0.7732747023349311,0.02318286451637612
0.09240951538085937,0.010108128063015023,0.0017939567565917968,0.00039785455152015735,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.7462811195299212,0.7404205968764496,0.7669321169011907,0.756888820163909,0.7580949435596102,0.7537235194062161,0.009337586300018028,872,0.7666286531622081,0.7579635070357197,0.7882518942322562,0.7455949435596103,0.745293412710685,0.7607464821400959,0.015920169954310445
0.16416220664978026,0.00610842137960213,0.0025911331176757812,0.00048745390715868595,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.7461960723674037,0.7404205968764496,0.7880624710066492,0.7706819236121848,0.7580949435596102,0.7606912014844595,0.01718573628563236,870,0.7684397711458171,0.7579635070357197,0.8047703726612031,0.7569526055357971,0.745293412710685,0.7666839338178444,0.02040567947960766
0.2491454601287842,0.010811552651234495,0.003780984878540039,0.0007385436658726127,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.7970620071130352,0.7888742848306786,0.8148214009587136,0.7706819236121848,0.7580949435596102,0.7859069120148444,0.019872568933980476,857,0.8237030307716097,0.8195202566877995,0.8150591464357507,0.7569526055357971,0.745293412710685,0.7921056904283283,0.03377555395615009
0.36043715476989746,0.009369254634462079,0.0055907249450683595,0.0008084041488589181,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.7975800216483684,0.7864620380392762,0.8148214009587136,0.8306865625483222,0.8280114427091385,0.8115122931807638,0.017160700498123415,853,0.8255354105458481,0.8172587753208597,0.8150591464357507,0.8050815679604145,0.8164160352559147,0.8158701871037575,0.0065221892277469795
0.48191351890563966,0.01307232003967643,0.006987142562866211,0.0006308231467975884,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.7975800216483684,0.7864620380392762,0.8170635534250812,0.8404283284366785,0.8280114427091385,0.8139090768517085,0.019657447104141437,842,0.8255354105458481,0.8172587753208597,0.8173012989021184,0.8102327199628886,0.8164160352559147,0.8173488479975258,0.004869077904026821
0.6648329257965088,0.03329022685222304,0.008771324157714843,0.0007454420260002824,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.8004252358125868,0.7875831142724601,0.8193057058914488,0.8468068656254832,0.8383562702953457,0.8184954383794649,0.022265444496092825,840,0.82609594866244,0.8172587753208597,0.819823720426782,0.8207070511829287,0.8226012834389982,0.8212973558064016,0.0029515051681415555
0.7128947257995606,0.01202421337154543,0.00957956314086914,0.0004930019493962708,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.8026673882789547,0.788704190505644,0.8210298438224833,0.850255141487552,0.8383562702953457,0.820202566877996,0.022507904292339266,837,0.8263762177207361,0.8172587753208597,0.8228409618060925,0.826892299366012,0.8217392144734808,0.8230214937374362,0.003496371394920662
0.8092550754547119,0.01682142672263237,0.010174942016601563,0.0003976301403883281,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.8026673882789547,0.7956007422297819,0.8210298438224833,0.850255141487552,0.8429256223905984,0.822495747641874,0.02147844386391746,833,0.8263762177207361,0.8238750579867016,0.824565099737127,0.826892299366012,0.8237436214628112,0.8250904592546776,0.0013013053079376203
