,0,1,2,3,4
147,0.947045707915273,0.7709080047789725,0.7709080047789725,0.7709080047789725,0.7709080047789725
154,0.8571428571428571,0.8828282828282829,0.8828282828282829,0.8828282828282829,0.8828282828282829
161,0.9350093399750934,0.9282153539381854,0.9282153539381854,0.9282153539381854,0.9282153539381854
169,0.939900426742532,0.9279761904761905,0.9279761904761905,0.9279761904761905,0.9279761904761905
176,0.9389473684210525,0.9049564270152505,0.9049564270152505,0.9049564270152505,0.9049564270152505
184,0.9384615384615383,0.7786622238677033,0.7786622238677033,0.7786622238677033,0.7786622238677033
191,0.9254239178937974,0.9323226544622426,0.9323226544622426,0.9323226544622426,0.9323226544622426
198,0.9471451021477214,0.7737179487179487,0.7737179487179487,0.7737179487179487,0.7737179487179487
206,0.9584302325581395,0.7846184107002362,0.7846184107002362,0.7846184107002362,0.7846184107002362
213,0.885918811163465,0.8639944392956439,0.8639944392956439,0.8639944392956439,0.8639944392956439
220,0.9230769230769229,0.8576015272474833,0.8576015272474833,0.8576015272474833,0.8576015272474833
228,0.9277180406212665,0.8678743961352657,0.8678743961352657,0.8678743961352657,0.8678743961352657
235,0.9024727327058121,0.9108359836437983,0.9108359836437983,0.9108359836437983,0.9108359836437983
242,0.8663558663558664,0.8179563492063492,0.8179563492063492,0.8179563492063492,0.8179563492063492
250,0.8804981452040276,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
257,0.8804047259929613,0.8989879822896901,0.8989879822896901,0.8989879822896901,0.8989879822896901
264,0.8948746949223169,0.9320754716981132,0.9320754716981132,0.9320754716981132,0.9320754716981132
272,0.8866071428571428,0.9180402152364769,0.9180402152364769,0.9180402152364769,0.9180402152364769
279,0.878628389154705,0.8664736164736165,0.8664736164736165,0.8664736164736165,0.8664736164736165
287,0.8594771241830066,0.9434277047522752,0.9434277047522752,0.9434277047522752,0.9434277047522752
294,0.8510057471264367,0.9415439752034095,0.9415439752034095,0.9415439752034095,0.9415439752034095
433,0.907474841101695,0.8788425554664528,0.8788425554664528,0.8788425554664528,0.8788425554664528
573,0.9317258246582216,0.9331981239700847,0.9331981239700847,0.9331981239700847,0.9331981239700847
712,0.9369154549482418,0.938159830037588,0.9235129906702254,0.9235129906702254,0.9235129906702254
852,0.9012533875338752,0.9438346883468836,0.9148164255630837,0.9148164255630837,0.9148164255630837
991,0.9249695646698292,0.9486419545778935,0.9296716237702898,0.9296716237702898,0.9296716237702898
1131,0.9313765457263216,0.9034175839108575,0.9236479061187645,0.9236479061187645,0.9236479061187645
1270,0.932531923562831,0.9290685725561146,0.9346041222606212,0.9346041222606212,0.9346041222606212
1410,0.9421440241401731,0.9337187203040862,0.9324470294972996,0.9266459983066887,0.9266459983066887
1549,0.929214175282636,0.9222328244274808,0.9198059163756332,0.9247565116960577,0.9247565116960577
1688,0.9288026384096254,0.9425312678587788,0.931343038329938,0.919033652810996,0.919033652810996
1828,0.9266428770504859,0.9426361681796465,0.9418970974677494,0.9306813301715929,0.9306813301715929
1967,0.9310744974887882,0.9285686630889518,0.9437413290601507,0.931116513190375,0.931116513190375
2107,0.9346999896726221,0.9380700008449673,0.924625632551895,0.9257864195797653,0.9257864195797653
2246,0.9450385577263417,0.9460854976031461,0.9514192542439196,0.9413539593475648,0.9377533394748964
2386,0.9441424340017396,0.9430338924281247,0.9316707903335762,0.9405383883024989,0.9375657666538874
2525,0.9420971644855186,0.9427771219848995,0.9258947860754138,0.9349710395750986,0.9392010999858975
2665,0.9379545885962153,0.9376223977400411,0.9397579103868743,0.9408311197101482,0.939337085678549
2804,0.9246760443307758,0.9239290281329924,0.9402333759590792,0.9313757459505542,0.9426324914309684
2944,0.949626952218958,0.9334641255605381,0.9328803927632598,0.9234652852945726,0.9396474408535644
