param_SVM__max_iter,train acc,test acc
1,0.48923377108211674,0.49380308064662864
2,0.4903176409878159,0.4433254278135715
4,0.5058978712633223,0.4635616466910861
8,0.5702687838321616,0.5190602488925724
16,0.5853886919345421,0.5349187669865726
32,0.6579868236941041,0.6346258502380292
64,0.7000312740246429,0.674942907224924
128,0.704105897184033,0.6892881790377607
256,0.704207089148701,0.6922835733853523
512,0.7046577487002639,0.6927687501748769
1024,0.7047131908165108,0.6925123399184665
2048,0.7047131908165108,0.6925123399184665
