param_MLP__max_iter,train acc,test acc
1,0.5014708672132986,0.4870021690414871
2,0.6422410890417779,0.6346369064017511
4,0.7375982822185992,0.7227813107499441
8,0.8097885441540891,0.7990793073546074
16,0.8755012669348378,0.8546783670098882
32,0.9247970987154892,0.895526620422566
64,0.9598001326022942,0.9273270708143458
128,0.9840459530706427,0.9446904452974024
256,0.997836223085783,0.9514070533597676
512,0.9982159392130368,0.9516563981639626
1024,0.9982159392130368,0.9516563981639626
2048,0.9982159392130368,0.9516563981639626
2100,0.9982159392130368,0.9516563981639626
2200,0.9982159392130368,0.9516563981639626
2300,0.9982159392130368,0.9516563981639626
2400,0.9982159392130368,0.9516563981639626
2500,0.9982159392130368,0.9516563981639626
2600,0.9982159392130368,0.9516563981639626
2700,0.9982159392130368,0.9516563981639626
2800,0.9982159392130368,0.9516563981639626
2900,0.9982159392130368,0.9516563981639626
3000,0.9982159392130368,0.9516563981639626
