mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0518613338470459,0.004966567198410741,0.0023937225341796875,0.0004886167833712648,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.6883715143831827,0.5,0.5,0.5,0.5000000000000001,0.5376821516897359,0.07535449172440938,195,0.6865663081597397,0.4999999999999999,0.5,0.5,0.49999999999999983,0.5373132616319479,0.07462652326389592
0.06762537956237794,0.0011700973965078601,0.0021935462951660155,0.0003971577406301627,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.6883715143831827,0.5,0.5,0.5,0.5000000000000001,0.5376821516897359,0.07535449172440938,195,0.6865663081597397,0.4999999999999999,0.5,0.5,0.49999999999999983,0.5373132616319479,0.07462652326389592
0.08597016334533691,0.001163439945312143,0.0033912181854248045,0.000797772455627293,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.6883715143831827,0.5,0.5,0.5,0.5000000000000001,0.5376821516897359,0.07535449172440938,195,0.6865663081597397,0.4999999999999999,0.5,0.5,0.49999999999999983,0.5373132616319479,0.07462652326389592
0.10691452026367188,0.001595318371528512,0.0023935317993164064,0.0004883831819295363,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.6871711319934584,0.6809957589332946,0.7002989604398859,0.6881327215073167,0.68845842353716,0.6890113456450755,0.006262980271587243,4,0.6910316529100642,0.6931214390916826,0.6883488364003617,0.6915115285251924,0.6917628626192578,0.6911552639093117,0.0015654558798480433
0.13244619369506835,0.0015960815745020324,0.0029973506927490233,1.0518988802051956e-05,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.6882662464006157,0.6809957589332946,0.6998870963353918,0.685837618231448,0.6868409321389869,0.6883655897960416,0.006257541497472871,6,0.6918840627501137,0.693388943940208,0.689057303812207,0.6914014591296667,0.6930816605779084,0.6917626860420208,0.0015393972050517068
0.1673583507537842,0.0029139813468639867,0.0029936790466308593,0.0006337787699559357,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.6857729314211833,0.6826651310559138,0.700620138869996,0.6859449296128023,0.6816509657797822,0.6873309910965039,0.006855317451401778,9,0.6923508496161896,0.6944519954219317,0.6900214345582094,0.692165654093839,0.6939911723399985,0.6925962212060337,0.0015661997410012605
0.21004338264465333,0.00272393341356583,0.0031926631927490234,0.0009754826048289371,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.6837393453943243,0.683130650851085,0.697576123066506,0.6869507848845118,0.681918488519215,0.6866631544121649,0.005704591171290185,11,0.6934112950784006,0.6948156338412276,0.6917051813758615,0.6933722130771542,0.6944914057770214,0.693559145829933,0.0010901246375734474
0.26369528770446776,0.0033731349160806084,0.0025949954986572267,0.0004904195968556151,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.686313374221634,0.6813758830517542,0.6947406843140989,0.6846451016132981,0.6802248502150016,0.6854602323716577,0.005130392860176263,13,0.7009423956204632,0.6958480343818368,0.6930413120360128,0.6942179129327775,0.6955560725552744,0.695921145505273,0.002703553891497988
0.41170272827148435,0.1502245587775873,0.0025864601135253905,0.0004967944723960334,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.6859762900238692,0.6823122126397693,0.7092496365015886,0.6855867211989856,0.6798811805695285,0.6886014621496421,0.010563246275369177,5,0.7018251198750057,0.6965662568710109,0.7127649525061581,0.6961002019497841,0.6961887202625978,0.7006890502929114,0.0064097736848797975
0.4316469669342041,0.012918200610918697,0.002593231201171875,0.0004887724013674795,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.6857088388337115,0.6814884844307811,0.7055421038471885,0.6816811914888471,0.6799449725139927,0.6868733583840009,0.009527081822573119,10,0.7040780241691394,0.6976467241970055,0.7140766994096611,0.6981601294290118,0.6969912348081739,0.7021905624025984,0.006461681327613483
0.5459578037261963,0.014837557990920418,0.0025934219360351563,0.0004888311796661405,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.6819953722381636,0.6797337166314504,0.6914986714548703,0.6809322789612258,0.6805438099373226,0.6829408303263691,0.004340393727908363,17,0.7055544070198169,0.6983259342502118,0.7022778979504274,0.6983189584644869,0.6978780136958954,0.7004710422761676,0.0030020684515249677
0.6670145034790039,0.023494534222812665,0.002592658996582031,0.00048791763337870976,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.6820650052457705,0.6785835199946797,0.705253421117066,0.6820666056049792,0.6758888890569836,0.6847717455420703,0.010500739231138555,14,0.7062942283370517,0.6988658175492533,0.7180906657200173,0.6993353367433011,0.6990884684125763,0.70433490335244,0.007422824234597486
