,0,1,2,3,4
259,0.9967320261437909,0.9878321256038646,0.9878321256038646,0.9878321256038646,0.9878321256038646
272,0.9968553459119496,0.9885142140012003,0.9885142140012003,0.9885142140012003,0.9885142140012003
285,0.996969696969697,0.9890027866242038,0.9890027866242038,0.9890027866242038,0.9890027866242038
298,0.9971264367816092,0.9894121942314713,0.9894121942314713,0.9894121942314713,0.9894121942314713
311,0.9934188251227356,0.9898987786514972,0.9898987786514972,0.9898987786514972,0.9898987786514972
324,0.9963768115942029,0.9874999999999999,0.9874999999999999,0.9874999999999999,0.9874999999999999
337,0.993006993006993,0.9879857397504456,0.9879857397504456,0.9879857397504456,0.9879857397504456
350,0.989795918367347,0.9884351044144859,0.9884351044144859,0.9884351044144859,0.9884351044144859
363,0.9901315789473683,0.9913650306748465,0.9913650306748465,0.9913650306748465,0.9913650306748465
376,0.9906250000000001,0.9916437728937729,0.9916437728937729,0.9916437728937729,0.9916437728937729
389,0.9970238095238094,0.9890146649539714,0.9890146649539714,0.9890146649539714,0.9890146649539714
402,1.0,0.9894502637434066,0.9894502637434066,0.9894502637434066,0.9894502637434066
415,1.0,0.9876159902521323,0.9876159902521323,0.9876159902521323,0.9876159902521323
428,0.9972222222222221,0.9879945369636092,0.9879945369636092,0.9879945369636092,0.9879945369636092
441,1.0,0.9883901570073323,0.9883901570073323,0.9883901570073323,0.9883901570073323
454,1.0,0.9887413338541158,0.9887413338541158,0.9887413338541158,0.9887413338541158
467,1.0,0.9890550018456995,0.9890550018456995,0.9890550018456995,0.9890550018456995
480,0.9975369458128078,0.9893824920172392,0.9893824920172392,0.9893824920172392,0.9893824920172392
493,0.9975961538461537,0.9896326719883409,0.9896326719883409,0.9896326719883409,0.9896326719883409
506,0.9976958525345622,0.9898992280966531,0.9898992280966531,0.9898992280966531,0.9898992280966531
519,0.9977678571428568,0.9901524208009563,0.9901524208009563,0.9901524208009563,0.9901524208009563
766,0.9961795211298686,0.9971590909090907,0.9971590909090907,0.9971590909090907,0.9971590909090907
1012,0.9988888888888888,0.9967391304347826,0.9967391304347826,0.9967391304347826,0.9967391304347826
1258,0.9990925589836661,0.9965753424657535,0.9965694682675815,0.9965694682675815,0.9965694682675815
1504,0.9967091103613459,0.9970457902511077,0.9971870604781997,0.9971870604781997,0.9971870604781997
1750,0.9971707206739248,0.99813200498132,0.9981640146878825,0.9981640146878825,0.9981640146878825
1997,0.9989071038251366,0.9994535519125682,1.0,1.0,1.0
2243,0.9990393852065322,1.0,1.0,1.0,1.0
2489,1.0,1.0,1.0,1.0,1.0
2735,1.0,1.0,1.0,1.0,1.0
2982,1.0,1.0,1.0,1.0,1.0
3228,1.0,1.0,1.0,1.0,1.0
3474,1.0,1.0,1.0,1.0,1.0
3720,1.0,1.0,1.0,1.0,1.0
3966,1.0,1.0,1.0,1.0,1.0
4213,1.0,1.0,1.0,1.0,1.0
4459,1.0,1.0,1.0,1.0,1.0
4705,1.0,1.0,1.0,1.0,1.0
4951,1.0,1.0,1.0,1.0,1.0
5198,1.0,1.0,1.0,1.0,1.0
