mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__C,param_SVM__class_weight,param_SVM__max_iter,param_SVM__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.034947967529296874,0.04553649282714889,0.002588176727294922,0.0027234772446132756,0.001,balanced,-1,1e-08,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 1e-08}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.009575271606445312,0.0007975818490609832,0.0011966228485107422,0.0003991134989923053,0.001,balanced,-1,0.01000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.01000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.009575414657592773,0.0011966388180311835,0.0013953208923339843,0.0004887334212615316,0.001,balanced,-1,0.020000010000000002,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.020000010000000002}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.010173797607421875,0.0014656550953202367,0.0009966850280761718,2.4314019744838644e-07,0.001,balanced,-1,0.03000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.03000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.009176111221313477,0.0013228665945535392,0.001196575164794922,0.00039925736138021837,0.001,balanced,-1,0.04000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.04000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.01077127456665039,0.0017156231790337927,0.000997447967529297,2.86102294921875e-07,0.001,balanced,-1,0.050000010000000004,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.050000010000000004}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.010172605514526367,0.0011631129607671926,0.0011977672576904297,0.0007466207047406219,0.001,balanced,-1,0.06000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.06000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.009175825119018554,0.00039897006344742484,0.0007977962493896484,0.0003988985913856316,0.001,balanced,-1,0.07000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.07000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.009375572204589844,0.0013523323577816406,0.0007975101470947266,0.00039875536934309906,0.001,balanced,-1,0.08000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.08000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.009973764419555664,0.001668810417791901,0.0009967803955078125,1.1523290608973094e-06,0.001,balanced,-1,0.09000000999999999,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.09000000999999999}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,101,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.022539234161376952,0.0037103451438195386,0.0009980201721191406,6.397441799640054e-07,0.001,balanced,272,1e-08,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 272, 'SVM__tol': 1e-08}",0.9153316839338178,0.9064558527910932,0.9032627184165767,0.9276635224988401,0.911713313746714,0.9128854182774083,0.008481580914270242,91,0.9150320859749499,0.9161319004175044,0.918546080098964,0.9078765269831451,0.9143652389052113,0.9143903664759548,0.0035537427153445465
