,train,test
0.1,0.02099436839998816,0.010371590600334457
0.2,0.04321389179967809,0.010350439999820082
0.3,0.061486924800556154,0.008460704600292957
0.4,0.08732670279969171,0.007102224800473777
0.5,0.10489183260033315,0.005495548399994732
0.6,0.12372405499991146,0.004329981199771282
0.7,0.14936946260022524,0.0030239411997172285
0.8,0.17129950839917002,0.002163677400312736
0.9,0.19641993259938317,0.0008392584000830539
