mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.007197809219360351,0.0003905977869706203,0.0012035846710205078,0.000408094958023014,1,{'SVM__max_iter': 1},0.49861605071903503,0.5197386732642647,0.49680686562548315,0.5099969073759084,0.4980903046234729,0.5046497603216329,0.00891302847801877,12,0.503919901036029,0.5173457553734343,0.5045654863151384,0.501204190505644,0.4820105922375135,0.5018091850935519,0.011364749287214771
0.009603929519653321,0.003710135871868655,0.001187610626220703,0.00040375197417900314,2,{'SVM__max_iter': 2},0.6279805164682232,0.606772846760476,0.6071748878923766,0.5945260553579711,0.4963661666924385,0.586564094634297,0.04636286764711689,6,0.6471219267048091,0.6001333694139477,0.6331065408999537,0.5920906138858821,0.48203185402814286,0.590896860986547,0.058105495381044
0.008388042449951172,0.000503349855299081,0.0017802715301513672,0.00039458394410565894,4,{'SVM__max_iter': 4},0.5230323179217565,0.5078552651925158,0.4888665532704499,0.5495051801453533,0.4963661666924385,0.5131250966445029,0.021534963627861926,10,0.509602597804237,0.5276248646976959,0.49225297665068807,0.5290068810886036,0.48470310808721195,0.5086380856656874,0.01798705555543693
0.010583972930908203,0.0007887127692701644,0.0019976139068603516,1.9704166900426046e-05,8,{'SVM__max_iter': 8},0.531065408999536,0.5279573217875366,0.48852636462038035,0.533137467140869,0.5051724137931034,0.517171795268285,0.017486043668849465,9,0.5312973558064017,0.5446458945415183,0.4915184784289469,0.5180918509355188,0.4821516932116901,0.5135410545848151,0.023553313640263293
0.013976335525512695,1.1947601995516132e-05,0.0029880046844482423,0.000616644065222017,16,{'SVM__max_iter': 16},0.5456394000309261,0.5020179372197309,0.4883640018555745,0.5321014380702025,0.46611257151693203,0.5068470697386732,0.028868223616847544,11,0.5412594711612804,0.5343977114581722,0.49252164836864076,0.5199010360290707,0.4715227307870729,0.5119205195608474,0.026222068648539605
0.020763635635375977,0.0007580367005214657,0.004584646224975586,0.0007987010671123035,32,{'SVM__max_iter': 32},0.536423380238132,0.49400030926240907,0.6112184938920674,0.5410700479356734,0.5570666460491726,0.5479557754754909,0.037886095660544655,8,0.5122564558527911,0.5109904128653162,0.6309822947270759,0.5242152466367713,0.5623492345755373,0.5481587289314984,0.045397931180483214
0.036310338973999025,0.00331021424225576,0.007773065567016601,0.0004055290648467282,64,{'SVM__max_iter': 64},0.5854878614504405,0.5662594711612803,0.5917194989948972,0.5472011751971547,0.5813669398484613,0.5744069893304468,0.015984292314686226,7,0.5940853564249265,0.5826001237049636,0.5953803927632597,0.5317264573991032,0.589084969846915,0.5785754600278336,0.023851370661448042
0.06385421752929688,0.0006391468776406552,0.013953828811645507,0.0008892693859029434,128,{'SVM__max_iter': 128},0.6250657182619451,0.6398020720581412,0.6918277408381011,0.7190582959641255,0.6544843049327354,0.6660476264110097,0.034573983596864345,5,0.6363789237668162,0.6407549868563475,0.6932232874594092,0.6802168702644193,0.6886268749033555,0.6678401886500696,0.0243022205676811
0.12428526878356934,0.005907191562051783,0.026328849792480468,0.0004864102331317152,256,{'SVM__max_iter': 256},0.9299056749652079,0.9073991031390135,0.8854105458481524,0.8910081954538426,0.9042987474872429,0.9036044533786919,0.015468158604015195,4,0.9344982217411476,0.9222089067573834,0.9241224679140252,0.8720407453224063,0.9346915107468688,0.9175123704963664,0.023311205627077204
0.20844626426696777,0.010324582492802162,0.042088794708251956,0.0009936740699180704,512,{'SVM__max_iter': 512},0.937320241224679,0.9241301994742538,0.9080949435596104,0.9376681614349777,0.91214628111953,0.9238719653626102,0.012309865332542658,1,0.9412652698314521,0.9375154631204576,0.9423438224833773,0.9384413174578633,0.9413309880933973,0.9401793721973096,0.0018605098081903744
0.23898138999938964,0.012742353787706108,0.05044717788696289,0.011240440855951831,1024,{'SVM__max_iter': 1024},0.9327508891294264,0.9229240760785526,0.9092160197927942,0.9399103139013453,0.9104221431884953,0.9230446884181228,0.012076712520781708,2,0.9372139322715326,0.9369336632132365,0.9421717952682852,0.9369336632132367,0.9408786918200095,0.9388263491572602,0.0022435921405595063
0.2487424850463867,0.013276100218291769,0.04786672592163086,0.005306044404858298,2048,{'SVM__max_iter': 2048},0.9327508891294264,0.9229240760785526,0.9092160197927942,0.9399103139013453,0.9104221431884953,0.9230446884181228,0.012076712520781708,2,0.9372139322715326,0.9369336632132365,0.9421717952682852,0.9369336632132367,0.9408786918200095,0.9388263491572602,0.0022435921405595063
