param_MLP__max_iter,train acc,test acc
1,0.8297773310654091,0.8332222518439527
2,0.869939693830215,0.8771142510145442
4,0.8977331065408998,0.9052104623952131
8,0.9183036956857894,0.9271823809946976
16,0.9366831606618214,0.9322773186409549
32,0.949614968300603,0.9477768891258628
64,0.9687026441935982,0.9469474806718208
128,0.9832565331683933,0.947562131579727
256,0.9876882634915727,0.9498355993957166
512,0.9876882634915727,0.9498355993957166
1024,0.9876882634915727,0.9498355993957166
2048,0.9876882634915727,0.9498355993957166
2100,0.9876882634915727,0.9498355993957166
2200,0.9876882634915727,0.9498355993957166
2300,0.9876882634915727,0.9498355993957166
2400,0.9876882634915727,0.9498355993957166
2500,0.9876882634915727,0.9498355993957166
2600,0.9876882634915727,0.9498355993957166
2700,0.9876882634915727,0.9498355993957166
2800,0.9876882634915727,0.9498355993957166
2900,0.9876882634915727,0.9498355993957166
3000,0.9876882634915727,0.9498355993957166
