mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06308569908142089,0.005957161426098977,0.004387903213500977,0.00135277539854334,1,{'MLP__max_iter': 1},0.913352404515231,0.9191278800061853,0.9135224988402662,0.9354260089686098,0.914473480748415,0.9191804546157414,0.00839112668049481,22,0.919259316530076,0.9263066336786763,0.9249052883871967,0.9142357352713778,0.9253575846605847,0.9220129117055823,0.004605550740265891
0.10143480300903321,0.004027380367411924,0.004587364196777344,0.0011973619591612744,2,{'MLP__max_iter': 2},0.922058141332921,0.9273156022885418,0.9186098654708522,0.944649760321633,0.9169707747023348,0.9259208288232565,0.01001191566730326,20,0.9268671717952685,0.9334177361991649,0.9365006958404207,0.9291711767434669,0.9356792175661051,0.9323271996288852,0.0037313737225696353
0.19120354652404786,0.009118043319486966,0.006469583511352539,0.0016785271631027598,4,{'MLP__max_iter': 4},0.928266584196691,0.9176666151229318,0.9180918509355189,0.938704190505644,0.9068888201639091,0.921923612184939,0.01077655317894643,21,0.9410062625637855,0.943120844286377,0.9494336632132365,0.939154553888975,0.9460298438224833,0.9437490335549714,0.0036481164371916157
0.35796327590942384,0.015446769120247493,0.003989696502685547,0.0010926236383800047,8,{'MLP__max_iter': 8},0.9374052883871965,0.9311117983609093,0.9249884026596569,0.9612030307716097,0.9206819236121848,0.9350780887583116,0.014231733902173268,1,0.9578610638626877,0.9623666305860522,0.9631204577083656,0.9673225606927478,0.9627764032781817,0.9626894232256069,0.0030025511909021105
0.6512555599212646,0.03340551309525821,0.00438995361328125,0.0013557277103217232,16,{'MLP__max_iter': 16},0.9351631359208288,0.9252512757074377,0.9278336168238752,0.9410313901345292,0.9344750270604608,0.9327508891294264,0.0056175092610441625,19,0.9740915416731097,0.9775204886346064,0.9801704809030464,0.9741147363537964,0.9773909850007733,0.9766576465130665,0.0023097001296033754
0.9618690013885498,0.1022086972879016,0.004787921905517578,0.0014672788109697694,32,{'MLP__max_iter': 32},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.9248896598815918,0.11314380605278872,0.004189586639404297,0.0009796015267532706,64,{'MLP__max_iter': 64},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.9315827846527099,0.11490435439458076,0.0037874221801757813,0.0007451190938745915,128,{'MLP__max_iter': 128},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.9588816642761231,0.1272648544584898,0.0035898685455322266,0.0004880326167026742,256,{'MLP__max_iter': 256},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.921467638015747,0.10525364086240058,0.004187536239624023,0.001161935349981767,512,{'MLP__max_iter': 512},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.9157244682312011,0.1279325323426823,0.0035918235778808595,0.0007961677849204732,1024,{'MLP__max_iter': 1024},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.925325870513916,0.11057911011724993,0.0035888195037841798,0.00048718314074032,2048,{'MLP__max_iter': 2048},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.9522331237792969,0.14121976507256487,0.005980634689331054,0.0006297914312867255,2100,{'MLP__max_iter': 2100},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
0.926168966293335,0.10615788158006038,0.003589630126953125,0.0004880325934077475,2200,{'MLP__max_iter': 2200},0.9369723210143808,0.9212849853100353,0.9369723210143808,0.9405984227617132,0.9321478274315756,0.9335951755064171,0.006715523729443182,2,0.9831220040204115,0.9702779495902274,0.9881030616978508,0.9821748878923767,0.9811407917117675,0.9809637389825268,0.0058534154319446205
