mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05206308364868164,0.00285233666980319,0.28623509407043457,0.013991091145837027,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.9440363215659353,0.9388315833934946,0.9408400049814888,0.9449329038617735,0.9503484198980366,0.9437912060037503,0.003938107094257718,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05206685066223145,0.003834752713245911,0.47632780075073244,0.01286760194013506,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.9430910426365289,0.9396969852544631,0.9363144837813243,0.9405948834112065,0.9447165185613261,0.9408812830288521,0.0028947375114300343,3,0.9722833810489366,0.9710171642723052,0.9714198329554847,0.9713785840361645,0.9695643938080188,0.9711326712241819,0.0008876828241875606
0.05047588348388672,0.0037233662020197994,0.5666805267333984,0.04077807921760204,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.9402810170892197,0.9397047685319133,0.9324584716264758,0.9354619401996229,0.9455568941465742,0.938689987294822,0.004467339991665177,4,0.9647057769274837,0.963020961130484,0.9650379014228779,0.9636379258850846,0.9603343091990658,0.9633473749129993,0.00167168577997391
0.050470733642578126,0.0025761767193654916,0.6075723171234131,0.008064799382472851,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.9315556756332635,0.9306610524432212,0.9294018797943455,0.9342966561841353,0.9423413664555659,0.9336421007078205,0.004627541677926894,7,0.960285313997236,0.9570191583600268,0.9573518373708412,0.9575076848284263,0.9558303791550182,0.9575988747423096,0.0014662841920897811
0.049868202209472655,0.0037321092014192822,0.651258134841919,0.014059548891133467,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.9310185174567993,0.9293137732836106,0.9247316225458212,0.9345418218574679,0.9345864275697611,0.930834122844928,0.0036699388820708966,8,0.9513870929198294,0.951491878913943,0.9513647623552326,0.9518560822838681,0.950408894091081,0.9513017421127907,0.00047997477631915245
0.053065252304077146,0.0004104698179851261,0.7132876873016357,0.025414902572023845,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.9239478671166401,0.9224424131713392,0.9228703284696781,0.9282852717675887,0.9283059020244367,0.9251652620904443,0.0025971407322022476,10,0.9463509752591156,0.944615637297687,0.9456465169554572,0.9438590147056047,0.9429404091995974,0.9446825106834925,0.0012190666419857677
0.053249168395996097,0.0022367370477048127,0.7404310703277588,0.006962076688724931,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.9170576093985406,0.9158062469613689,0.9187218765966477,0.9215812711788048,0.9234653794033116,0.9193198661851631,0.002831472975324733,12,0.9410687486903607,0.9400127753053021,0.9404412230655441,0.9403267143514952,0.9362129241255848,0.9396124771076574,0.0017340634792731412
0.0502716064453125,0.0030059429425833215,0.7537925720214844,0.008347719210453299,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.9119755993481294,0.9131817574371506,0.916189972083279,0.9196838224415493,0.9210163315433559,0.9164006841262325,0.0035231619097515154,14,0.9365339666660859,0.936253504648209,0.9360025139349334,0.9329180298258852,0.9336968913899559,0.9350809812930139,0.0014784629742988738
0.0516693115234375,0.0041612513026829485,0.7848962783813477,0.010792994336544643,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.9093174380877886,0.9088919645536598,0.9133801702028268,0.9159910816412355,0.9162921320254032,0.9127671078076398,0.00316600243331183,15,0.9323360479842944,0.9313622799470925,0.930919166308844,0.9276642296011226,0.9269462569792508,0.9298455961641208,0.0021363408254707547
0.05246367454528809,0.004017620291721734,0.8172229290008545,0.031775808827261276,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.902161405620161,0.9061872908812315,0.9043554705628669,0.913503382058529,0.914388322474814,0.9081077178533866,0.004932142756745809,18,0.9274014446869179,0.9273368432673934,0.9272952240272267,0.9236156240055277,0.9241681512330827,0.9259634574440296,0.0017007671450647815
0.051253318786621094,0.0035996763890114715,0.8226145744323731,0.00800013527694677,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.8977416268783325,0.901718890764184,0.9018189420103724,0.910712256412737,0.9144273847681842,0.9052684954215795,0.006237690513993444,20,0.9233909670266689,0.9237899045042804,0.9225516428469821,0.9200069859576572,0.9205556693036715,0.9220590339278522,0.0015154951893354416
