mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__C,param_SVM__class_weight,param_SVM__decision_function_shape,param_SVM__gamma,param_SVM__max_iter,param_SVM__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7545365333557129,0.026420834929909084,0.14442067146301268,0.003246819062059222,0.001,balanced,ovo,0.017543859649122806,-1,1e-08,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 1e-08}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7521960258483886,0.02119781143948184,0.14341292381286622,0.002711179186830018,0.001,balanced,ovo,0.017543859649122806,-1,0.01000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.01000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7254616260528565,0.006723878648583246,0.14221978187561035,0.005970432866506384,0.001,balanced,ovo,0.017543859649122806,-1,0.020000010000000002,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.020000010000000002}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7561860084533691,0.0199472937133386,0.1438127040863037,0.0016045738675622124,0.001,balanced,ovo,0.017543859649122806,-1,0.03000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.03000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7384473323822022,0.006822393336718785,0.14361352920532228,0.005816194239282233,0.001,balanced,ovo,0.017543859649122806,-1,0.04000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.04000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7567925453186035,0.013380179865961636,0.14380645751953125,0.002988602153502388,0.001,balanced,ovo,0.017543859649122806,-1,0.050000010000000004,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.050000010000000004}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7441999435424804,0.0038672323676628827,0.14202437400817872,0.003718605755358134,0.001,balanced,ovo,0.017543859649122806,-1,0.06000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.06000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7583672523498535,0.02155346684981756,0.14821624755859375,0.004833497850651379,0.001,balanced,ovo,0.017543859649122806,-1,0.07000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.07000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7414267063140869,0.009755633993610735,0.1430201053619385,0.0013523298307182932,0.001,balanced,ovo,0.017543859649122806,-1,0.08000001,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.08000001}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
0.7565887928009033,0.022661452316572878,0.14221749305725098,0.0016236759493126697,0.001,balanced,ovo,0.017543859649122806,-1,0.09000000999999999,"{'SVM__C': 0.001, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.017543859649122806, 'SVM__max_iter': -1, 'SVM__tol': 0.09000000999999999}",0.49999999999999994,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,0.5,4.965068306494546e-17,3581,0.5,0.49999999999999994,0.5,0.5,0.5,0.5,2.482534153247273e-17
