,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.47652549743652345,0.05747005931103524,0.004986906051635742,0.0006309018655104127,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.8332964133958958,0.7999394306480918,0.8164647688269736,0.7987482333939026,0.7576619033140772,0.8012456388940744,0.02515951031336117,368,0.8137425792598206,0.7979191057898342,0.7987320241224678,0.809569462546113,0.767245532088758,0.7974417407613987,0.016288048981771594
1,0.48709721565246583,0.021265026519026484,0.004587841033935547,0.0004889671157828317,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.8244305938739754,0.8326266908944074,0.8155966081162933,0.8506157884110639,0.8065876152832673,0.8259770006135007,0.01507846393614165,356,0.8175476822028547,0.8386600101614793,0.832675782544346,0.8585102387947601,0.8149880578268525,0.8324763543060584,0.015778125854746812
2,0.5437451839447022,0.06471535149252697,0.004986906051635742,1.1680077279964342e-07,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.8732555329560786,0.8564304461942257,0.8674641631334545,0.8492428831011506,0.8282203303942434,0.8549366572435827,0.01575020611600367,320,0.8560360616395097,0.8640283637809539,0.8826967682078243,0.8656542004462215,0.8460005069433585,0.8628831802035736,0.012111779037406378
3,0.5048497676849365,0.036143500477612174,0.004786968231201172,0.00039911272990091057,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.8727520792637492,0.8793660407833637,0.8798707853825964,0.8697052291540478,0.8584524171480693,0.8720337512352211,0.007813918404610464,295,0.8588859416445622,0.8790518898142217,0.8800636196955973,0.8790032914356402,0.8726304811674325,0.8739270447514906,0.007970015422328025
4,0.5082404613494873,0.037796796509548904,0.004986715316772461,4.1019083342755444e-07,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.9055269146343919,0.8799616394104582,0.8714011710074703,0.8781748435291742,0.8718050065876153,0.8813843876760725,0.012548934013414973,277,0.8871131741821398,0.8770350571030949,0.8806070379288254,0.8880204996796923,0.8819490332766702,0.8829449604340844,0.004111442919664477
5,0.5587057113647461,0.030221712792152102,0.005385446548461914,0.0004884803587669786,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.8951960448677928,0.8983646274984857,0.8905814657783163,0.8925499697153239,0.8815800141887099,0.8916586529906819,0.005672365861356398,235,0.8861516357206013,0.901221586516159,0.9029203207492985,0.8999160573460866,0.8876042260412517,0.8955627652746795,0.0071695849039919496
6,0.48968992233276365,0.030237167125258067,0.0041888713836669925,0.00039882674164771765,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.8857411845258472,0.8932364223702806,0.8851806985665254,0.8721784776902887,0.8945069423330291,0.8861660228121608,0.007953068705759932,257,0.8754926108374385,0.9024520091011509,0.8968123881685037,0.878857496299896,0.8961506983712239,0.8899530405556426,0.010713551761587357
7,0.497070837020874,0.03991612529517353,0.004787158966064453,0.0003987314027623026,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.9061159554544173,0.8982737734706238,0.8793660407833638,0.895800524934383,0.8621921556704164,0.8883633309942508,0.01570981771753707,256,0.8919208664898319,0.9003843689942345,0.8901632463716893,0.9029711281450881,0.8631634400520564,0.88972061001058,0.014139394033854315
8,0.5136257648468018,0.05094783824648992,0.004787158966064453,0.0003989697215063215,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.9056276053728578,0.8983646274984857,0.8543710882293561,0.8760246315364426,0.9128813215769735,0.8894516021359274,0.021450113052972782,237,0.8988411014273082,0.9069120148445956,0.8818882679096071,0.8948198546466675,0.9034859291691679,0.8971894335994692,0.008679205321030411
9,0.5188120365142822,0.07024072511984496,0.004986810684204102,3.8146972656249997e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.9205852145719636,0.908116293155663,0.8898950131233595,0.8976781748435291,0.9083409344278909,0.9049269285959545,0.010448683499121265,183,0.9088180497663256,0.9260023415582408,0.9082661423932492,0.8980207205814134,0.9010252992479081,0.9084265107094275,0.009717481671116345
10,0.5519236087799072,0.04698409719915511,0.004787874221801758,0.0003992096920955516,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9395805223835512,0.8806480920654146,0.9088027458106198,0.9180496668685644,0.934032634032634,0.9162244551788497,0.020914504576511856,121,0.9264273083238601,0.9161258256201815,0.926592149152842,0.9258300382159976,0.9278970804097918,0.9245744803445346,0.004277845774559006
